x,y,R,G,B
483,163,44,45,48
583,106,43,45,48
727,39,55,52,52
76,271,34,31,34
509,362,41,41,44
186,499,48,47,50
672,477,106,83,59
1072,221,51,54,58
70,86,150,26,31
699,486,131,108,76
414,223,224,222,240
223,377,41,43,44
279,453,78,72,53
757,300,49,45,49
1127,187,230,229,244
1081,276,60,56,62
801,24,53,49,52
1083,94,251,250,255
77,255,118,110,139
1086,147,86,83,109
149,407,46,46,48
933,238,45,47,51
717,255,242,237,255
968,19,100,74,61
569,353,40,43,48
383,53,31,27,30
172,57,160,146,168
955,5,113,83,64
691,295,47,45,47
219,153,36,27,28
187,58,166,106,116
98,453,50,47,51
730,200,239,237,255
926,201,50,48,51
710,8,60,53,56
1088,43,60,61,66
559,0,144,92,78
625,120,48,45,48
224,82,107,110,126
224,391,44,44,46
257,224,192,189,208
235,204,44,39,43
554,475,131,130,131
1110,23,236,234,252
49,271,33,28,32
223,331,44,43,45
810,273,49,48,53
966,409,45,47,49
546,351,41,40,48
186,467,50,49,53
72,247,39,33,40
877,131,46,47,53
111,36,195,191,212
647,326,40,44,48
112,72,137,120,143
550,9,88,77,56
930,351,42,47,49
256,291,44,41,46
236,218,186,184,204
549,465,152,149,161
804,53,52,50,53
180,313,40,40,41
293,350,44,46,45
286,136,31,26,27
38,165,171,28,36
11,486,47,48,50
556,107,42,45,46
26,492,67,62,56
347,9,40,41,40
946,483,44,46,48
753,479,162,154,149
333,424,48,44,46
61,421,55,56,53
686,489,116,85,63
309,425,41,41,46
701,465,123,101,69
1083,23,63,60,69
603,498,177,176,186
175,49,162,151,175
819,218,243,239,255
286,479,73,70,59
1099,4,247,244,255
481,7,60,48,44
490,366,44,43,46
572,443,136,132,134
844,314,47,48,48
829,381,47,46,50
200,214,189,185,205
622,403,40,44,45
94,208,210,214,240
442,38,48,41,41
416,323,42,42,47
880,33,106,105,103
750,68,48,48,51
1019,275,45,48,48
935,140,47,46,50
826,176,44,47,51
902,354,48,45,51
1087,248,252,251,255
982,336,44,45,49
513,436,144,143,159
306,463,130,122,101
1181,223,238,235,252
863,173,52,48,51
319,264,207,206,229
777,321,48,47,52
1045,210,50,49,53
390,324,42,44,44
683,73,44,46,48
182,398,45,44,45
180,324,40,42,43
238,99,46,37,46
77,48,116,111,115
258,11,35,29,29
442,65,37,38,40
193,439,48,45,49
843,41,95,87,70
184,299,40,39,43
343,304,43,44,45
849,90,46,48,49
149,3,33,27,33
438,224,232,230,253
521,379,39,42,42
499,137,22,21,18
1162,265,242,233,251
1145,63,233,231,248
763,417,45,46,47
1032,298,51,50,54
191,142,41,35,40
84,235,178,180,204
950,386,43,44,49
983,57,98,77,63
223,158,39,32,39
1065,227,51,49,54
864,390,44,45,48
182,273,209,207,230
506,459,146,148,154
767,84,46,46,50
180,471,54,53,54
88,204,152,154,179
858,283,48,46,50
906,165,50,48,52
1081,106,60,56,62
722,323,45,46,47
540,296,45,44,48
238,42,38,29,31
715,190,236,238,255
670,295,45,46,47
504,372,40,43,44
280,359,44,42,45
882,407,46,45,48
178,168,40,36,42
536,65,44,44,44
1140,457,229,228,241
1152,113,235,234,248
1176,281,241,235,251
826,6,90,87,83
319,440,68,65,54
382,266,216,216,242
205,208,186,183,200
376,326,42,44,45
87,314,34,30,33
968,12,104,78,63
696,69,48,47,51
1120,499,227,222,240
1096,258,238,236,255
1154,230,234,233,249
39,145,160,30,34
324,435,63,61,50
353,357,41,42,45
831,418,112,122,173
720,2,51,50,51
109,68,136,116,139
929,97,47,46,53
936,472,48,47,50
870,75,47,47,53
1197,333,240,237,252
940,406,45,46,52
908,395,46,46,50
974,40,97,74,59
439,406,116,124,143
102,397,40,44,45
293,129,30,28,30
104,413,46,45,47
858,211,48,47,51
995,73,69,61,58
869,3,87,82,80
912,121,45,47,50
675,130,46,46,48
105,145,195,180,203
536,142,44,44,48
1178,404,232,235,250
293,434,69,67,52
963,196,45,46,51
839,68,49,49,52
329,451,67,61,52
306,378,40,41,46
141,14,195,191,210
162,226,200,195,218
386,349,43,43,45
852,103,47,48,51
803,286,46,46,50
1016,77,97,82,68
255,204,179,179,195
692,134,44,47,49
98,336,40,35,35
824,313,46,47,50
