x,y,R,G,B
365,207,56,55,59
369,379,44,44,44
709,380,41,43,46
794,96,46,47,49
495,460,155,154,174
120,270,212,213,236
456,90,38,40,43
504,374,41,43,41
790,33,49,49,53
952,224,45,47,51
266,44,177,181,201
1044,165,50,49,55
576,291,45,43,48
1104,154,241,239,255
50,308,36,31,36
1149,147,237,231,248
43,470,46,47,51
1098,153,250,245,255
957,433,49,48,57
181,175,197,190,210
580,198,232,230,255
986,102,50,47,52
93,77,154,57,84
159,469,146,135,116
1090,66,255,254,255
831,176,45,49,49
286,419,44,44,45
990,212,47,47,52
976,436,144,139,179
88,111,153,28,34
140,55,144,126,148
959,394,43,48,51
279,110,29,27,28
561,384,46,42,43
1135,256,229,228,244
196,254,200,200,220
454,165,46,44,45
213,397,45,43,44
123,409,45,46,48
507,445,168,167,183
898,226,240,236,255
996,458,126,123,90
240,271,207,205,228
46,141,158,25,34
1119,290,230,228,244
884,484,170,160,120
326,234,49,50,54
121,386,42,42,43
218,413,48,46,45
220,352,41,44,42
300,293,47,43,44
226,371,46,45,48
460,302,66,65,65
290,18,200,202,222
517,203,180,177,178
1199,245,240,236,251
147,193,185,185,208
577,310,41,43,46
208,319,41,43,47
1010,467,45,48,53
745,217,240,241,255
652,181,238,235,255
230,396,44,43,48
472,354,46,48,45
667,489,107,79,60
509,330,41,44,45
243,304,43,42,47
962,344,41,45,49
836,182,44,47,51
857,16,92,90,84
1115,342,234,229,249
31,90,39,31,34
306,148,32,27,33
308,482,86,79,61
599,102,43,43,44
947,467,47,48,51
911,356,46,46,54
49,17,61,61,67
325,296,44,42,47
406,26,37,32,32
760,0,48,48,50
481,250,186,182,198
1053,349,51,55,56
875,231,241,237,255
107,241,213,209,232
1013,347,48,49,53
122,364,41,38,38
829,301,46,46,49
545,87,47,44,47
773,486,166,162,174
828,47,66,61,59
899,314,45,46,47
1000,251,46,47,51
512,94,34,34,33
743,314,45,45,49
233,98,39,36,42
900,95,45,47,50
424,109,41,41,42
540,192,228,226,241
766,301,51,45,51
626,304,44,47,50
404,38,34,27,29
987,68,98,87,77
394,152,43,42,44
937,359,48,45,50
152,472,49,49,51
564,487,162,152,153
144,112,36,26,29
32,492,64,58,53
553,379,43,43,45
461,193,228,225,246
366,162,39,39,42
126,50,155,132,158
208,445,45,47,47
74,88,148,22,30
823,398,48,46,49
650,9,53,50,53
1090,480,235,234,253
761,260,238,236,255
556,258,231,232,255
161,135,104,116,128
1023,400,46,46,51
47,43,144,136,155
968,122,50,47,52
776,358,49,48,49
747,196,60,57,63
592,370,37,43,44
77,236,53,54,57
480,426,43,43,48
987,279,48,47,52
634,283,43,43,46
1169,18,240,236,254
1155,496,233,231,248
26,433,50,53,51
943,498,174,157,90
355,462,61,55,53
437,185,54,52,57
239,291,44,44,45
1114,494,229,226,245
651,135,43,44,47
680,441,42,45,47
777,446,48,44,50
1034,319,49,48,52
417,34,37,31,30
182,296,41,40,42
823,349,45,46,49
665,190,240,237,255
489,492,120,110,63
764,57,49,45,51
