x,y,R,G,B
386,153,39,39,43
1196,174,238,238,255
904,413,45,46,50
954,235,45,46,49
127,56,158,143,164
1047,328,47,48,53
674,285,44,44,49
753,318,46,48,51
74,403,47,45,44
355,442,91,87,59
773,323,43,45,48
258,115,33,27,32
1005,311,48,48,53
542,462,130,128,140
187,328,37,41,43
158,157,46,47,48
910,188,46,47,51
13,144,162,31,38
100,201,201,199,226
754,42,50,50,52
730,201,240,237,255
983,118,53,53,60
260,421,42,42,43
479,312,48,46,51
463,309,30,27,37
656,485,97,73,60
1036,16,105,83,63
860,298,42,48,48
56,211,42,40,46
993,72,72,62,57
1104,59,234,235,255
940,180,48,48,50
948,414,43,48,50
1117,466,228,227,240
319,200,192,188,210
303,248,202,201,221
76,124,154,26,36
1023,153,48,49,52
1014,57,110,90,71
732,228,237,236,254
507,286,44,44,46
867,394,45,46,48
1015,338,46,48,51
572,399,44,43,48
692,246,47,47,50
556,477,147,140,146
518,264,224,222,246
890,12,84,81,75
488,89,43,44,45
86,389,42,41,46
495,223,158,158,184
843,423,80,77,106
1062,203,52,49,55
583,313,45,44,48
117,43,172,156,179
906,459,45,48,50
317,156,33,30,36
1148,491,231,228,244
1161,447,238,233,248
868,324,46,45,52
512,162,47,48,52
889,240,239,237,255
478,132,44,43,47
542,333,46,42,44
374,172,107,106,113
39,298,32,31,32
472,431,179,186,196
217,168,44,36,36
1048,388,49,48,55
789,330,46,46,52
970,131,48,46,52
836,489,153,145,119
566,363,43,42,45
1013,29,100,77,64
533,400,37,42,43
606,129,44,44,48
316,39,36,33,36
488,29,75,55,49
119,229,86,70,92
438,29,39,34,39
331,32,40,37,40
470,160,44,44,44
303,497,45,45,48
692,232,236,238,255
1067,460,54,52,57
4,31,221,223,246
210,447,45,47,51
734,335,45,45,51
71,125,155,25,36
314,222,194,196,214
840,405,49,46,51
818,312,45,46,49
49,348,41,38,43
1173,359,235,234,252
444,473,120,101,103
177,495,43,46,47
241,141,28,26,28
257,452,63,60,53
1118,496,233,228,245
171,264,208,206,225
294,209,190,189,209
44,242,35,31,31
621,371,43,43,46
799,284,46,44,48
539,452,126,123,134
602,297,45,44,47
465,413,45,46,49
565,132,43,43,46
924,122,48,46,51
1028,221,49,48,55
1086,104,61,58,61
916,276,47,49,51
77,457,49,50,50
612,345,42,43,45
319,97,29,28,26
676,44,45,45,46
403,237,69,79,94
274,367,43,43,46
205,463,48,44,49
