x,y,R,G,B
1082,167,54,54,58
646,133,46,45,51
37,64,109,100,111
420,322,45,45,47
71,101,153,25,33
605,152,46,46,51
268,52,43,49,54
353,153,39,36,40
658,157,45,48,48
1074,336,51,50,56
174,116,123,121,140
447,216,60,60,62
1159,230,238,233,250
572,187,229,232,251
994,195,47,47,51
314,41,40,35,37
1075,293,80,71,86
1138,260,232,227,243
513,236,219,220,243
763,111,44,47,52
1124,3,231,228,243
260,278,41,44,48
783,50,45,50,51
1055,60,100,84,77
4,148,169,26,37
380,361,40,44,45
312,284,44,43,50
55,25,64,61,66
1055,471,53,49,53
404,372,42,42,45
1108,126,234,234,251
310,6,142,143,150
827,403,50,46,52
298,261,204,201,222
1022,226,50,51,52
100,441,43,46,47
382,299,44,44,48
147,484,45,47,51
486,161,43,42,46
830,390,43,45,48
10,83,121,113,120
157,304,41,36,38
407,412,43,44,47
1088,440,239,236,255
639,95,45,46,50
197,445,47,49,50
322,231,154,152,180
303,180,192,188,206
671,390,155,156,138
160,233,50,47,49
1135,391,228,226,243
1146,313,234,230,243
812,188,49,46,50
664,35,47,49,51
22,367,45,44,49
618,328,44,42,48
854,93,50,47,52
1073,54,81,67,63
364,15,40,30,27
61,188,39,30,33
810,417,140,144,165
410,302,44,45,47
909,268,240,237,255
996,24,125,90,67
76,493,49,49,52
76,62,189,188,209
374,90,34,31,31
220,43,202,186,211
552,296,42,44,44
475,166,47,43,47
976,225,46,48,51
52,201,100,98,106
913,260,232,235,255
712,474,146,133,140
726,7,47,50,52
994,289,47,47,51
920,7,134,82,65
585,197,235,234,255
350,172,153,149,161
948,298,45,45,49
958,479,49,46,51
1120,205,231,228,248
700,315,48,44,49
1086,86,211,213,238
1185,214,240,237,252
102,295,39,35,37
656,98,46,45,49
408,2,39,26,29
516,446,161,158,173
879,497,173,160,116
1090,327,238,239,255
600,159,41,45,45
646,278,46,45,47
1071,393,125,113,61
1048,385,49,49,51
136,195,81,75,96
549,282,45,42,49
959,247,45,47,50
595,481,176,174,181
606,485,186,187,198
1120,312,231,229,244
30,356,42,45,46
122,374,43,40,44
1119,129,228,228,246
224,322,40,44,46
235,418,46,44,46
1019,322,44,47,51
114,268,187,189,212
587,409,43,43,47
1199,139,237,235,254
89,382,40,42,43
77,86,151,24,33
1050,358,48,47,52
743,106,46,45,50
715,232,235,238,255
243,207,177,174,190
1102,433,239,236,255
279,53,50,48,54
195,493,45,47,48
30,168,173,31,41
572,351,43,43,47
770,407,172,173,157
344,147,34,34,34
519,138,43,47,47
141,405,45,45,48
257,252,194,192,212
795,388,45,47,52
84,197,148,155,176
463,440,175,181,201
1193,359,236,237,251
150,165,46,44,52
883,456,49,49,49
944,316,45,45,49
691,259,42,44,50
850,37,87,84,77
167,235,76,73,99
556,315,41,42,43
1125,491,227,223,242
987,246,49,47,51
78,333,40,37,43
82,413,46,44,48
860,438,48,48,48
365,357,44,43,46
7,410,50,47,51
534,326,42,42,48
1018,389,50,45,52
151,253,206,207,228
415,344,46,43,46
430,246,78,61,94
1125,465,229,227,243
1172,479,232,233,252
70,383,41,42,44
1,7,225,224,242
1086,309,81,81,67
656,193,236,236,255
178,487,43,47,48
1198,179,239,236,253
1151,458,230,231,247
675,453,98,74,56
366,499,63,59,53
1039,242,50,47,54
151,60,132,119,141
229,401,44,44,46
869,82,47,49,50
582,58,48,45,46
1143,276,228,226,244
154,459,48,49,55
394,2,40,31,29
228,286,49,48,49
1006,324,50,45,49
779,132,47,46,47
538,88,43,44,46
1010,286,46,48,53
746,455,49,48,48
576,80,45,45,47
376,494,77,69,54
944,296,47,44,50
992,476,46,49,53
844,349,49,46,47
718,72,41,47,50
610,359,44,43,46
48,424,54,53,55
156,65,151,136,153
484,238,103,96,89
938,255,47,45,53
146,456,46,43,50
892,365,47,48,52
880,475,49,51,51
998,373,47,49,48
1162,321,238,236,250
181,214,191,186,207
262,308,47,43,44
918,203,48,47,52
851,153,46,46,53
554,255,229,230,254
263,223,191,187,208
1012,24,103,79,63
1072,206,50,52,56
844,167,45,47,48
1194,12,238,235,254
742,328,44,47,50
860,402,44,45,51
401,479,55,54,53
426,59,37,36,37
743,1,46,50,52
798,135,44,45,48
654,211,237,237,255
945,304,46,45,52
265,487,83,75,51
164,412,41,44,46
1115,269,232,229,245
579,247,233,234,255
104,228,203,201,225
1092,335,241,242,255
1014,237,50,49,53
1022,261,46,47,49
554,115,44,43,47
1115,134,231,231,247
1183,437,240,237,253
301,83,31,27,28
692,116,45,45,47
919,233,53,52,58
140,499,47,45,50
162,181,199,194,216
780,247,237,238,255
731,402,79,71,61
793,488,158,155,172
137,17,196,191,213
169,496,45,48,50
194,118,39,44,44
909,173,47,46,52
254,121,28,26,30
1144,62,230,230,246
475,329,49,51,53
610,96,46,44,47
387,174,43,43,46
890,41,109,105,102
38,9,227,226,247
138,34,131,113,133
758,312,45,46,50
63,2,225,230,244
257,49,132,143,160
2,189,66,58,61
936,248,45,46,51
848,179,42,48,48
1187,83,238,236,253
129,421,45,49,49
811,67,48,49,52
949,442,48,44,49
119,471,45,45,48
1027,373,52,50,56
1058,428,51,48,51
940,147,46,47,49
150,254,209,206,229
1101,181,243,242,255
783,204,58,51,56
78,137,181,127,139
747,461,86,79,65
735,97,50,50,53
255,99,35,32,34
933,109,49,47,51
420,328,46,45,47
98,389,45,44,47
1113,400,232,230,248
342,185,196,192,215
919,35,122,119,111
798,72,50,47,51
53,99,148,30,35
1081,10,74,71,73
790,39,51,50,52
197,44,197,182,204
830,372,50,45,51
1055,182,48,48,54
786,472,161,159,170
879,44,101,99,96
949,21,113,78,63
71,360,38,41,44
586,424,42,44,46
228,331,37,43,46
1193,460,236,233,252
1079,325,241,239,255
478,92,43,43,47
967,67,77,66,59
822,177,46,48,49
517,285,45,44,45
1123,410,231,229,247
1156,486,235,229,247
653,113,45,45,47
385,390,43,44,48
396,143,41,41,42
575,184,233,231,254
466,69,45,41,43
804,464,49,49,49
180,280,210,209,231
1133,310,229,227,243
474,27,63,52,47
709,41,88,65,58
427,204,225,223,245
1113,285,233,230,250
582,169,48,45,48
347,8,43,41,38
1032,235,49,49,52
715,408,41,42,46
685,354,41,45,50
394,219,210,211,239
1117,77,232,228,246
860,188,45,47,49
1069,83,88,82,81
830,124,47,48,53
335,402,41,43,47
943,330,43,48,49
999,180,47,48,53
1011,75,98,85,78
915,437,47,48,51
701,275,43,43,50
940,465,50,49,54
646,310,43,45,47
1,323,41,39,47
681,414,40,42,42
664,192,238,236,255
254,318,42,44,48
187,290,42,39,40
54,363,43,41,45
525,97,43,43,46
669,158,46,47,49
1030,73,98,85,72
1057,54,108,102,98
998,351,46,45,50
936,260,50,47,51
968,497,54,52,54
750,368,40,45,45
279,303,46,43,49
605,203,231,230,255
179,244,197,198,214
195,455,47,48,50
1063,31,112,104,101
611,459,156,156,170
630,417,41,44,44
695,60,45,45,50
263,9,38,29,32
703,278,45,44,47
996,21,128,94,68
469,48,40,39,39
1013,460,49,49,55
748,287,46,45,52
656,202,242,236,255
1019,195,47,47,53
43,227,33,33,35
137,374,43,41,44
930,365,47,46,51
589,249,238,237,255
433,178,45,44,48
60,246,38,31,35
17,224,33,31,35
513,493,108,102,73
815,275,43,45,52
1110,453,232,230,246
1041,109,48,49,53
540,216,228,229,251
153,475,46,46,51
520,69,44,42,42
528,451,147,141,155
941,286,40,46,51
505,420,46,43,44
486,107,42,43,47
682,68,47,49,49
607,422,42,44,45
348,162,39,36,41
590,59,44,45,47
456,213,75,72,93
1092,339,241,240,255
929,243,48,49,53
305,257,205,204,222
742,267,46,49,55
758,421,48,45,50
1138,484,229,226,242
787,69,43,48,50
708,245,55,57,59
1196,200,239,238,254
271,405,43,42,46
689,252,47,47,48
392,180,46,47,49
631,84,48,44,49
1099,468,236,234,252
455,401,60,59,66
320,173,191,189,208
604,298,41,42,46
586,257,236,234,255
244,395,41,42,45
719,217,231,236,248
213,153,33,25,34
591,262,231,234,255
823,340,46,47,51
121,112,164,30,36
594,222,237,235,255
528,389,41,42,49
236,338,44,44,47
1056,362,47,49,53
800,172,46,47,50
495,144,56,53,59
826,372,45,44,49
320,100,32,24,28
1,106,138,20,29
17,120,150,21,32
658,248,46,46,49
76,411,51,46,49
572,386,42,41,44
722,462,143,136,153
496,87,46,47,51
116,391,42,44,46
372,478,54,53,51
132,285,41,38,43
674,254,46,46,51
635,306,43,43,50
343,46,30,25,27
827,235,200,208,242
1166,410,232,232,248
998,199,47,47,53
1189,60,241,236,254
754,201,132,125,139
853,444,45,47,48
654,165,45,47,51
1111,491,231,229,247
601,230,235,236,255
873,54,99,91,86
563,170,46,45,51
223,86,147,151,166
526,463,147,143,156
774,301,46,44,49
210,230,190,188,206
466,261,221,220,242
493,349,43,43,47
34,46,37,32,32
678,81,46,46,48
879,29,108,104,108
43,129,152,20,33
1023,184,45,49,52
695,262,43,46,49
896,127,44,46,50
1071,272,51,51,53
792,299,44,45,51
178,420,46,48,50
242,4,178,166,190
990,360,44,46,50
1082,196,61,57,62
571,463,150,144,150
837,217,239,236,255
1123,50,232,230,245
451,336,46,46,50
342,381,42,44,45
434,469,20,21,23
728,318,44,45,49
696,174,48,48,51
544,475,141,136,142
157,302,38,34,38
206,275,207,205,225
570,148,44,44,47
948,391,44,44,49
306,386,43,44,45
777,114,44,45,50
986,212,45,50,51
890,464,45,50,49
736,211,240,238,255
1090,181,121,133,199
555,204,230,226,252
774,228,211,209,251
896,180,48,47,51
452,28,68,51,43
147,285,46,39,43
455,354,22,20,20
430,498,33,32,32
1023,470,49,49,53
335,371,42,43,46
1053,10,75,67,61
917,21,178,124,82
1174,410,237,234,254
585,271,184,184,222
766,122,47,44,51
1094,245,245,239,255
177,499,46,48,48
1168,487,236,232,248
1020,383,46,47,52
376,18,43,31,32
255,356,39,44,50
758,368,45,46,48
502,35,89,69,52
918,335,46,46,51
74,314,32,32,33
422,106,41,41,42
129,318,37,35,38
1169,209,237,236,252
164,1,45,27,52
751,5,48,49,52
32,4,226,224,248
872,373,44,46,51
1170,39,241,236,254
700,58,46,44,48
993,400,44,45,50
878,46,105,101,98
859,259,242,239,255
1107,423,235,234,253
110,123,159,30,36
1083,387,254,249,255
751,56,47,46,49
894,11,96,89,83
192,495,48,46,48
693,52,49,45,49
663,424,43,46,44
46,313,34,37,37
625,219,237,233,255
382,153,42,39,45
657,387,44,45,46
913,377,44,44,49
113,208,209,214,240
156,286,42,39,41
369,293,44,43,45
413,355,43,44,46
1123,465,225,225,242
429,289,44,46,49
976,411,46,48,51
1191,453,236,233,249
710,383,41,43,49
55,87,190,188,209
71,246,40,34,37
242,14,186,174,196
406,152,44,41,45
233,125,31,29,30
712,41,117,88,63
871,231,238,237,255
813,388,47,46,49
104,415,44,44,47
589,122,44,44,48
850,279,48,46,49
16,320,36,39,41
557,363,40,44,45
329,415,47,42,47
477,216,172,174,193
50,58,114,103,114
384,108,35,33,34
304,483,86,84,79
603,490,179,176,187
1182,163,242,236,253
153,288,37,37,39
62,171,168,30,37
16,490,53,52,52
888,53,105,102,99
438,173,47,44,47
756,450,48,45,50
184,394,43,44,46
780,213,242,239,255
427,61,34,35,38
919,451,78,89,121
911,199,47,50,52
106,142,194,180,196
817,26,56,54,57
3,230,35,28,26
969,139,46,48,50
1160,363,238,237,251
630,179,236,232,255
871,452,48,47,51
966,432,60,51,50
785,59,48,46,48
14,479,48,50,53
779,470,167,162,171
1088,293,255,255,255
320,461,113,106,101
787,440,47,47,50
1088,81,61,62,62
355,50,29,23,27
326,274,42,44,46
805,214,242,240,255
19,37,134,135,158
675,205,236,235,255
608,354,46,43,49
35,188,97,93,103
927,467,47,48,52
1106,456,233,232,249
487,491,112,98,61
1015,377,45,47,49
591,397,41,43,42
195,196,189,182,205
596,238,232,235,255
465,497,108,102,58
1155,323,234,234,249
628,408,42,44,46
315,471,130,124,122
381,105,38,34,37
1109,415,236,234,253
1068,432,56,54,56
586,432,42,43,44
495,80,43,42,47
391,180,48,47,49
1172,288,236,233,249
231,475,54,54,52
20,192,90,97,89
196,411,43,43,47
343,17,36,34,35
491,227,171,167,199
85,193,141,143,162
256,397,40,45,45
1181,415,238,237,255
384,85,31,30,29
1031,493,48,43,52
340,81,33,26,30
307,214,190,189,207
308,34,46,46,48
737,280,46,45,49
205,98,167,174,189
