x,y,R,G,B
505,352,42,42,46
178,155,34,37,41
776,439,48,46,51
790,158,48,48,51
374,25,37,27,35
1178,71,239,236,255
858,266,128,129,153
223,74,111,111,125
183,364,45,43,49
75,210,235,233,255
1178,437,230,229,245
806,466,48,49,52
623,426,45,46,46
178,374,40,43,47
51,367,41,42,44
962,18,103,73,61
782,488,162,159,175
153,351,36,39,42
326,451,64,63,54
407,356,41,44,46
2,19,223,222,246
469,143,41,44,45
813,140,44,46,49
660,178,236,241,255
412,32,34,29,29
605,493,172,172,179
884,171,47,46,50
754,87,45,46,48
416,220,223,225,246
824,276,48,47,51
782,331,42,45,46
297,82,28,25,29
615,355,44,45,46
757,413,46,45,48
288,303,41,43,46
1145,297,230,229,246
877,383,44,46,49
508,45,44,42,47
816,469,49,50,54
599,163,48,45,49
971,401,48,47,49
1050,83,68,62,60
465,493,104,100,58
101,308,36,34,35
253,429,64,62,53
1172,119,240,237,254
879,362,48,48,52
945,91,46,48,52
394,220,209,208,233
826,397,45,45,51
501,35,92,67,51
458,1,66,54,40
585,462,136,127,122
82,337,40,34,38
948,458,46,49,54
1139,113,229,227,243
216,213,152,144,154
582,187,235,234,255
287,261,202,199,222
1112,367,237,236,250
1196,55,242,237,254
829,281,47,46,49
963,253,42,46,49
950,316,47,45,50
288,480,64,62,56
544,65,46,43,48
520,185,220,222,242
769,317,44,45,49
858,385,42,47,47
43,451,48,49,54
202,272,207,205,228
377,5,42,31,29
20,229,35,27,29
1186,421,234,233,251
30,403,45,43,49
1151,83,236,233,250
988,481,47,47,50
248,385,45,44,47
916,213,50,50,57
582,317,46,46,47
792,91,47,46,50
240,424,86,83,56
670,86,46,47,49
1024,50,98,81,62
714,34,124,83,61
378,316,41,43,45
599,15,50,48,50
1089,65,254,252,255
758,336,48,47,50
383,9,40,33,31
771,454,44,45,51
1019,140,48,49,53
296,462,61,58,54
530,288,44,43,45
1107,211,237,235,254
46,53,113,105,114
617,357,43,43,46
182,11,171,146,167
875,238,242,239,255
441,291,45,44,49
430,90,44,39,43
841,286,47,48,51
323,33,40,35,39
308,286,37,43,46
497,22,78,60,50
32,249,36,33,30
304,423,41,43,46
294,262,199,199,219
702,459,120,95,65
113,488,46,46,49
705,97,49,45,50
1090,212,98,88,112
205,289,41,40,45
589,5,92,82,60
607,60,44,42,48
612,347,41,42,44
872,229,238,239,255
495,110,40,43,45
316,332,41,44,46
487,428,46,45,50
640,194,239,235,255
474,374,43,46,47
979,113,50,48,51
832,436,45,45,49
658,342,45,45,48
608,235,237,234,255
874,431,47,46,52
495,179,58,49,54
1128,66,229,227,243
830,30,72,75,65
205,227,190,185,206
426,380,44,46,45
343,19,37,31,32
702,412,42,45,47
644,443,45,45,48
347,206,198,197,218
1060,309,62,51,59
1080,443,55,53,55
892,14,86,76,72
400,423,43,45,46
548,117,44,43,48
788,44,50,50,52
732,272,50,46,49
1182,205,241,237,255
696,326,44,45,48
325,302,42,43,45
942,488,51,49,52
1083,488,67,71,63
651,52,46,44,50
856,476,53,52,50
872,141,45,48,51
963,363,45,44,51
695,211,241,239,255
595,253,67,53,82
1066,63,117,104,97
946,274,49,46,50
14,330,41,41,44
1131,138,229,226,245
964,142,47,48,50
253,105,35,30,33
241,416,43,47,47
484,239,126,121,113
1091,272,237,243,239
525,223,225,224,246
782,128,49,47,50
126,394,42,43,45
888,175,47,48,53
857,301,47,48,49
551,346,43,42,44
252,145,31,26,28
524,181,220,221,243
436,397,49,49,50
638,187,240,236,255
274,407,46,41,45
223,201,148,143,151
95,323,33,34,34
742,433,48,46,53
77,122,156,28,34
459,246,169,171,200
302,435,54,53,50
841,298,43,46,50
575,265,237,235,255
1022,273,50,49,53
159,241,51,43,51
573,0,54,47,49
11,9,221,223,243
485,334,45,45,46
17,178,102,101,108
374,311,40,44,46
223,433,46,46,50
742,367,41,45,49
225,401,47,44,45
500,412,41,42,45
815,85,49,48,51
546,410,41,39,46
10,11,173,171,181
1056,91,61,59,58
497,242,214,216,233
588,102,45,44,46
713,261,52,52,53
227,138,34,27,29
1073,29,103,101,101
773,416,46,46,49
534,35,42,44,45
1156,494,233,232,246
41,176,173,34,41
664,98,44,44,48
887,257,238,238,255
978,159,51,46,51
1094,167,243,242,255
577,307,41,43,45
249,282,207,203,226
1112,424,232,232,247
955,259,45,45,47
157,293,41,37,38
589,23,51,48,50
1132,245,228,226,241
687,249,45,49,50
787,278,235,233,254
934,456,51,47,54
355,43,33,26,27
89,486,51,46,49
911,177,45,46,52
1121,457,226,225,245
661,267,45,46,47
365,279,48,46,47
849,399,46,45,49
1183,159,242,240,254
785,196,48,48,49
1014,137,44,48,54
847,113,48,48,52
890,172,46,46,48
999,129,47,48,54
496,449,166,168,183
295,105,31,25,29
516,186,219,217,240
284,189,188,185,205
688,98,45,47,47
571,435,43,44,43
1016,108,48,50,50
566,289,47,43,48
642,259,43,46,49
778,123,47,48,51
314,390,41,42,46
352,246,204,205,228
55,435,62,59,57
152,218,196,191,212
273,374,45,45,45
153,163,46,45,47
1081,440,53,55,59
107,305,37,33,37
778,167,45,47,52
357,60,31,22,22
833,318,50,47,51
1024,167,48,49,53
221,288,43,43,45
400,341,45,44,46
690,104,44,45,47
751,176,46,48,51
700,15,51,52,51
547,472,171,177,185
892,95,48,47,52
1058,438,48,48,52
568,114,42,42,47
326,344,45,43,44
437,437,58,56,66
784,128,47,48,47
245,27,202,193,214
83,456,45,47,48
1174,381,238,234,253
976,497,50,50,50
905,476,51,50,53
888,219,56,51,59
1068,88,87,80,67
739,123,47,47,51
747,252,241,239,255
979,202,49,47,51
78,82,150,23,31
737,45,51,47,50
136,117,199,183,205
957,338,48,47,49
375,204,185,190,197
1057,141,48,51,55
937,338,45,44,48
118,352,38,38,42
670,112,45,47,49
121,480,49,48,51
661,355,41,43,44
584,323,40,43,45
878,15,94,93,90
98,344,32,37,35
302,127,34,27,28
131,81,149,132,156
728,3,49,50,54
221,412,44,44,47
422,240,59,59,62
382,467,70,61,55
114,207,214,215,240
567,120,41,45,48
112,481,51,47,50
997,389,46,47,50
724,169,42,46,49
490,442,162,167,183
532,411,44,42,46
986,189,48,47,51
560,151,47,45,46
470,256,142,140,164
1025,401,48,47,50
1014,123,47,47,52
301,47,41,37,44
1087,71,65,64,67
425,179,46,46,49
539,463,153,149,159
487,264,213,211,231
325,55,30,25,23
414,364,44,42,44
734,3,50,49,54
179,388,44,44,45
298,169,190,184,205
149,48,133,119,136
718,33,200,134,75
483,296,46,48,52
763,378,46,43,48
74,287,38,33,31
504,379,43,41,45
1123,38,232,230,248
751,254,238,237,255
173,61,157,147,168
843,425,48,48,53
908,225,201,201,220
318,16,44,42,47
297,486,76,76,70
433,8,36,30,33
906,92,49,47,50
615,154,44,46,47
634,351,40,43,45
233,301,40,42,44
882,466,51,46,49
782,416,45,47,51
136,318,35,34,36
155,59,133,122,140
612,404,39,42,46
19,481,49,48,52
1000,49,110,84,62
240,476,85,83,62
758,407,48,44,51
561,179,222,226,246
105,206,227,227,254
558,121,42,45,46
192,375,41,44,45
580,104,39,43,46
81,314,36,32,33
312,77,33,26,29
213,441,48,49,49
605,287,43,47,47
189,426,50,48,50
1179,437,239,235,250
808,70,48,46,50
983,412,50,47,49
823,54,53,52,55
491,93,41,40,45
671,352,42,45,47
269,306,41,43,48
837,62,50,48,52
674,415,43,43,50
1019,89,48,50,51
797,476,169,163,168
25,401,45,45,49
1069,179,50,51,55
888,222,209,209,230
1119,395,234,233,248
513,299,47,47,50
951,492,61,51,49
697,443,45,44,47
191,204,58,56,69
858,308,41,47,48
669,422,47,43,49
1131,488,227,225,240
519,327,41,43,43
758,44,51,50,52
771,58,47,48,47
889,445,45,47,51
412,384,43,43,46
1114,41,233,231,249
974,384,48,45,50
855,165,45,47,50
91,47,30,26,25
319,498,47,47,51
606,459,160,161,175
1098,472,234,234,251
758,495,166,160,173
644,227,239,235,255
144,306,32,32,35
991,365,47,47,51
430,370,43,44,46
304,33,51,50,54
631,136,46,46,49
1146,133,235,230,247
596,362,41,43,44
1109,402,238,237,251
