x,y,R,G,B
162,46,151,133,157
1071,296,54,50,58
344,244,182,183,207
253,397,45,44,47
163,1,39,35,38
7,295,36,34,38
571,18,87,78,58
492,170,17,20,19
887,217,55,49,54
537,358,41,41,46
890,382,46,45,47
1127,65,231,227,241
634,101,45,46,52
657,73,47,47,49
42,253,34,29,30
651,104,47,46,48
1133,478,231,228,242
1114,456,230,228,243
482,237,54,54,59
468,452,154,154,166
136,4,172,173,188
987,8,126,93,68
213,182,189,185,204
9,55,73,57,81
179,69,142,131,150
97,449,48,48,51
388,151,40,41,43
4,44,144,131,140
484,123,45,44,45
769,383,43,45,47
1105,441,233,233,251
953,107,47,48,52
74,261,36,33,36
455,270,238,235,255
523,56,43,42,44
1086,333,116,94,88
350,20,37,31,32
764,135,45,47,47
106,352,34,36,40
786,20,53,50,53
1169,172,237,236,252
705,236,236,236,255
630,401,43,44,44
65,296,35,32,32
306,329,44,45,47
418,471,150,135,132
458,227,232,231,253
554,223,210,205,233
185,266,204,207,224
1106,90,235,232,252
617,287,46,43,47
725,356,45,45,52
1004,334,50,47,51
962,113,47,47,51
400,159,42,42,45
84,256,215,212,238
862,6,96,91,88
118,342,38,36,40
1007,214,46,47,51
768,136,46,45,50
468,382,47,47,48
967,340,45,47,50
902,408,43,46,48
729,383,41,45,44
576,137,46,43,48
1166,399,238,233,250
1081,212,240,241,255
406,410,41,41,46
472,434,189,191,211
806,210,238,240,255
994,104,51,47,53
291,92,27,26,28
103,59,135,117,138
31,314,38,37,38
4,196,22,24,24
600,194,236,233,255
188,131,43,44,49
137,481,58,60,52
1103,211,242,241,255
1011,470,48,48,52
1130,39,231,228,243
171,172,197,194,213
716,128,47,46,46
255,133,35,25,29
70,406,47,47,46
902,30,98,89,80
740,134,48,47,52
861,121,48,49,52
95,85,152,24,34
1013,288,49,47,52
1053,316,46,48,53
940,204,50,48,53
524,121,44,43,49
507,21,82,62,49
897,185,49,47,52
722,409,47,46,49
1189,119,239,238,252
59,43,110,100,110
947,160,48,47,51
557,68,47,45,45
249,62,155,158,171
883,421,46,45,47
