x,y,R,G,B
111,272,48,39,51
130,204,202,202,224
1105,2,243,241,255
1098,84,235,235,254
605,243,235,235,255
380,439,200,198,219
1047,172,46,50,52
693,214,238,239,255
416,337,45,47,52
517,456,138,136,147
683,311,45,47,51
453,247,141,136,151
904,80,47,48,52
678,310,47,46,48
228,13,176,164,188
725,253,242,237,255
640,454,197,200,220
514,391,44,43,44
219,242,45,44,45
691,431,47,43,49
412,109,36,38,44
1150,48,237,234,248
726,40,54,53,53
897,425,128,129,164
412,1,41,31,29
229,422,43,45,46
185,220,195,188,209
1161,119,238,235,252
113,271,184,185,205
762,31,50,50,55
603,484,186,185,200
610,131,49,45,48
1152,384,230,231,248
642,3,50,49,51
495,195,195,192,210
239,292,40,43,43
276,211,59,43,57
432,106,38,41,41
940,452,52,44,73
1174,73,239,236,250
1047,389,49,49,55
701,56,46,45,51
232,340,39,42,45
277,436,71,67,53
114,198,226,220,249
827,347,43,44,47
76,121,155,27,35
460,9,112,92,70
213,53,196,184,206
176,365,41,44,45
264,316,42,42,46
686,434,45,45,51
433,416,49,52,56
533,302,43,43,46
1055,170,50,49,55
942,476,47,47,53
578,91,45,45,48
909,27,119,114,107
736,228,239,239,255
278,280,43,43,45
560,83,43,42,47
1187,212,240,236,253
445,115,41,42,44
216,166,34,31,36
533,426,43,45,46
144,56,138,120,143
1035,92,49,51,56
257,248,197,192,212
258,42,211,211,233
136,226,192,194,214
170,258,208,207,228
481,410,43,43,47
175,11,168,147,171
1111,492,231,229,246
750,115,47,47,49
171,194,191,186,210
470,196,230,228,244
805,379,44,46,51
677,211,59,54,60
134,171,60,47,67
766,44,55,49,54
521,399,45,41,46
999,471,47,46,51
946,466,46,46,48
783,65,44,47,52
588,293,41,46,48
765,16,48,49,52
765,331,47,46,50
181,126,155,163,171
171,43,170,154,176
851,280,48,45,47
1118,5,233,230,247
561,480,135,123,107
1188,213,238,236,253
252,469,104,91,60
295,379,43,43,46
214,370,43,44,44
80,39,122,114,123
58,183,73,27,26
733,316,47,47,49
219,94,49,48,52
125,62,165,145,169
795,293,47,46,53
1046,464,45,48,53
198,319,42,42,42
482,121,42,42,47
39,417,56,56,53
111,274,79,68,98
513,305,42,45,45
837,150,49,47,52
476,266,131,123,115
173,348,44,41,46
32,32,231,227,254
533,306,45,43,45
709,261,50,47,50
174,217,193,189,214
670,314,43,48,48
1078,83,64,64,75
514,331,39,44,43
795,422,49,47,50
958,400,46,46,49
383,439,193,195,218
419,218,223,219,242
801,158,48,51,53
720,207,241,237,255
286,259,198,197,216
895,203,45,46,51
650,201,239,237,255
849,60,55,52,55
1125,289,229,225,244
1162,376,234,233,250
276,286,45,44,47
322,320,42,44,46
284,366,42,43,46
1108,335,236,232,252
1093,81,110,103,80
826,470,49,50,54
656,431,45,41,46
725,26,54,50,54
683,315,46,44,48
40,479,47,47,52
174,321,37,39,42
79,380,40,44,46
288,24,162,163,183
960,113,46,48,52
350,453,77,72,56
966,174,43,49,52
734,138,45,46,50
430,71,38,37,38
973,34,94,71,60
722,206,241,238,255
478,424,44,46,50
936,416,43,44,50
612,332,47,43,50
543,289,46,46,48
50,387,41,45,45
229,251,201,196,219
385,416,43,42,46
500,17,80,59,50
1071,252,52,51,58
453,308,47,46,48
818,92,48,47,50
819,79,43,46,48
336,477,142,139,153
338,390,42,43,45
825,115,44,47,50
1088,65,252,252,255
1056,275,239,241,255
615,184,236,236,255
821,239,235,237,239
732,456,49,49,53
22,259,41,32,35
544,367,43,42,46
737,175,50,49,53
837,33,80,73,68
1124,221,228,228,248
404,174,44,44,46
876,490,167,160,108
694,384,45,42,48
955,254,45,47,49
1030,304,47,47,51
146,265,215,212,234
555,439,144,143,153
753,15,50,50,53
1198,100,239,237,252
532,69,42,44,46
491,95,44,42,45
710,389,46,45,46
1007,413,46,47,51
819,449,45,46,50
1013,323,50,49,53
211,95,182,184,204
1056,16,80,67,63
921,47,98,94,89
1132,268,231,230,245
1194,29,239,236,254
670,362,44,42,48
729,280,47,45,48
674,145,45,45,51
177,247,201,199,221
890,1,104,96,82
379,442,188,179,196
474,132,45,42,47
953,60,56,54,57
1198,259,243,238,253
554,378,40,42,44
463,169,46,45,47
222,192,184,183,202
45,118,150,25,33
675,319,44,45,47
618,458,157,163,191
1068,403,49,50,55
547,17,49,47,46
739,377,44,46,48
1094,353,247,244,255
85,5,44,27,38
77,355,43,38,40
391,94,35,33,35
509,44,46,42,47
391,154,41,40,45
93,37,163,163,178
982,94,50,48,51
151,421,49,49,50
728,27,51,49,54
459,36,60,51,44
156,479,45,48,51
1018,460,49,49,52
85,373,40,39,44
812,405,46,45,50
886,479,50,49,52
972,159,47,49,54
169,39,169,153,176
882,271,54,52,58
200,281,208,207,232
329,298,42,42,46
144,107,60,39,57
684,395,146,164,171
176,252,202,199,221
335,307,44,44,47
222,206,185,180,200
1044,289,55,50,55
105,428,51,51,52
863,156,46,48,50
1133,38,228,227,241
915,343,50,47,50
1083,288,250,249,255
325,498,129,129,143
1018,257,49,47,53
260,125,36,26,28
224,307,42,42,45
356,193,198,197,217
115,102,160,29,37
596,132,46,46,48
283,276,39,43,45
293,469,97,88,62
5,498,47,47,46
759,467,121,123,101
319,199,191,189,209
834,245,236,239,255
664,350,46,44,46
1199,110,240,235,251
961,51,85,68,58
495,376,42,42,45
338,488,134,136,148
54,212,66,63,60
594,254,101,104,138
988,181,48,48,51
952,411,46,47,49
667,299,46,46,47
124,217,199,195,219
674,365,41,43,47
765,480,152,150,162
14,427,54,52,55
114,12,120,112,122
309,395,44,44,46
881,354,44,47,51
326,440,67,65,52
148,190,200,199,223
201,476,47,48,50
630,409,38,43,46
562,184,230,229,255
355,55,27,24,24
770,137,41,48,51
291,101,33,25,28
159,440,47,47,48
156,250,207,206,227
1179,236,240,237,255
149,376,41,43,48
330,252,207,204,228
88,112,154,29,36
1185,91,241,236,254
418,78,35,38,39
496,130,69,62,59
1087,479,235,232,254
630,267,45,47,48
466,186,52,50,52
832,4,91,91,90
912,44,85,80,71
501,147,33,34,35
471,37,74,57,46
615,311,44,44,47
1092,211,249,248,233
1059,463,52,51,54
864,101,46,47,51
765,79,47,47,52
478,243,25,24,25
799,42,47,50,52
448,108,37,43,45
197,78,212,200,221
453,202,227,227,246
380,322,43,43,46
627,226,239,236,255
685,269,39,45,49
486,9,93,73,54
1126,494,224,223,239
1173,143,240,235,252
537,185,226,225,248
95,41,40,32,47
138,91,153,142,164
825,170,52,51,53
18,97,122,97,81
983,335,48,47,50
486,54,43,42,45
261,207,186,184,202
585,300,45,45,48
8,261,33,29,32
564,77,44,44,47
751,98,46,46,50
435,390,41,43,48
1047,255,48,47,54
357,2,42,35,36
805,453,49,47,52
24,98,22,27,28
326,445,69,67,54
1029,434,46,44,52
1195,100,236,236,254
40,41,59,33,46
925,469,50,50,53
818,67,46,46,49
1153,279,235,233,249
510,490,117,108,75
661,280,44,45,50
328,201,60,61,65
494,154,23,25,29
1169,16,237,235,251
244,431,78,77,50
363,178,198,195,216
1033,20,107,83,64
810,440,45,45,50
669,363,43,42,47
820,207,46,50,55
1158,250,237,234,253
417,362,41,44,45
612,335,43,41,46
1112,330,234,232,248
1079,118,243,244,255
544,307,48,45,45
1119,242,232,227,245
315,489,52,55,61
152,122,49,35,44
141,431,44,47,51
112,114,162,30,39
472,44,42,41,43
692,428,44,44,47
1177,299,240,235,252
579,258,235,236,255
1166,98,239,234,251
379,351,45,45,49
651,389,71,53,86
293,339,42,41,45
1098,218,243,241,255
172,107,203,194,217
168,412,45,41,48
968,360,49,44,50
94,336,35,37,38
881,275,48,48,53
1148,234,232,230,245
1102,383,242,241,255
825,496,165,162,152
1063,336,49,49,53
246,364,43,44,46
263,390,43,44,47
1156,251,237,234,250
703,143,46,46,49
1186,340,241,236,255
1127,484,228,226,246
915,52,80,73,67
142,125,203,194,213
747,119,44,46,48
339,395,44,43,46
894,451,42,46,50
124,499,48,45,49
361,79,31,30,30
228,188,188,183,203
155,204,189,189,206
57,259,37,32,33
50,263,39,32,34
572,137,44,44,49
557,240,233,230,255
1075,192,131,125,97
474,185,46,46,48
1040,198,48,48,52
744,156,45,46,51
60,339,36,36,41
758,477,158,152,157
1119,428,232,227,244
593,429,42,43,44
801,319,51,47,53
616,49,47,45,47
77,398,43,44,45
684,401,52,48,49
276,31,114,112,137
