x,y,R,G,B
157,129,130,133,149
428,92,41,38,43
1098,327,241,239,255
224,267,203,201,217
214,460,45,48,50
418,228,224,226,248
946,292,47,46,51
721,192,241,240,255
537,231,62,53,60
71,355,37,37,42
325,40,41,35,38
353,58,31,20,23
131,452,52,47,50
644,34,44,45,49
456,355,20,21,19
139,104,177,166,189
611,186,234,232,255
317,404,43,42,48
582,276,49,46,48
495,100,44,43,45
919,413,48,43,50
468,278,69,68,75
679,476,111,81,60
674,19,52,50,51
827,8,93,90,84
73,88,150,24,35
88,203,188,188,214
1191,43,243,237,255
42,431,51,49,55
1035,29,102,80,64
471,197,229,228,251
148,473,47,47,48
83,102,154,25,32
942,37,99,74,61
1063,498,52,51,56
449,258,231,232,254
660,81,45,44,47
223,204,185,179,199
1166,14,234,235,253
1176,117,239,236,253
90,31,116,107,117
897,462,46,48,51
448,136,42,41,45
779,59,47,46,52
437,422,105,107,128
1079,365,56,57,65
131,148,164,174,189
122,5,119,109,124
222,357,42,43,44
732,428,42,48,48
511,214,218,216,239
145,245,204,201,223
702,167,49,47,54
74,449,46,47,50
284,127,32,29,30
300,372,42,44,46
1163,345,240,235,253
130,374,42,44,46
732,24,50,49,51
1084,271,51,52,58
845,291,42,47,48
207,248,199,197,215
705,338,46,46,47
928,277,47,49,51
1016,283,47,48,51
1142,445,229,228,243
178,77,52,36,47
1144,176,232,232,246
629,242,48,50,51
500,466,164,158,170
503,213,215,211,230
602,280,46,44,48
322,472,120,116,125
1041,46,113,102,85
47,436,47,46,50
850,214,52,53,58
393,391,43,41,46
592,226,237,234,255
404,410,46,44,47
185,247,201,200,221
1083,166,56,54,59
124,426,49,51,51
291,327,40,44,44
190,412,43,44,48
269,356,47,42,47
488,321,47,44,48
473,312,54,54,58
109,321,33,32,35
647,13,53,50,51
565,495,172,165,171
259,256,194,191,214
212,96,153,156,172
937,162,49,47,52
206,326,41,42,45
417,448,129,119,123
71,163,165,32,39
413,282,44,45,47
418,222,222,222,244
277,68,42,38,44
1141,412,233,227,246
664,241,48,48,51
685,176,49,48,56
419,349,40,42,47
717,179,47,48,52
547,423,42,42,46
351,56,35,23,25
125,241,55,45,55
665,228,238,237,255
330,36,36,29,34
1084,183,249,250,255
1173,352,242,236,252
974,63,88,74,62
204,207,191,186,206
648,448,182,194,206
638,361,48,43,50
851,366,44,46,47
1006,210,45,49,52
900,191,46,46,50
778,469,165,161,171
923,482,48,49,51
1113,131,233,230,250
859,233,239,239,255
695,191,240,237,255
354,175,191,191,210
1021,100,45,50,53
742,92,48,44,48
715,149,44,45,48
1017,193,46,49,52
463,2,65,51,39
1058,89,62,59,61
622,77,44,45,47
70,142,168,80,85
903,485,95,84,51
1190,466,234,236,249
1055,315,46,50,53
509,441,161,161,176
928,286,50,48,53
523,408,39,41,43
227,382,43,43,49
378,458,121,111,104
189,228,187,186,204
59,485,85,78,68
517,326,41,43,46
838,316,47,44,51
161,299,39,38,41
313,444,64,61,54
901,33,92,82,76
466,40,61,52,44
800,40,47,49,53
548,405,43,43,45
263,65,46,48,54
456,367,23,24,24
836,332,45,46,51
770,295,43,45,51
355,332,47,44,45
1065,308,235,237,255
664,415,40,43,46
955,19,106,76,60
1024,173,51,46,55
47,17,65,61,65
