x,y,R,G,B
486,138,43,45,44
342,41,41,34,32
375,189,200,200,218
48,329,35,37,38
1153,386,233,229,249
388,96,33,32,36
427,307,44,43,49
952,307,44,43,49
1059,86,63,59,59
888,246,239,239,255
567,438,148,151,156
1037,315,49,51,53
878,112,48,47,52
320,251,197,199,219
123,19,31,31,32
1137,215,232,229,245
605,193,234,232,255
564,378,42,42,46
265,377,40,42,47
441,223,229,229,249
263,8,35,30,32
544,229,227,227,249
326,232,49,50,56
352,479,78,75,70
1089,278,129,113,93
949,132,45,49,53
413,45,31,26,29
619,123,42,47,45
629,476,186,186,198
593,233,235,236,255
623,493,106,101,93
1172,162,238,235,249
898,463,50,48,51
550,81,46,44,46
477,395,45,43,45
501,404,41,41,44
794,307,44,47,52
106,357,38,37,42
155,222,199,193,216
614,18,48,50,51
102,46,35,33,34
1155,343,235,233,250
978,54,81,65,59
390,47,31,26,27
64,376,42,41,45
1156,401,234,235,249
1130,462,223,223,240
650,128,44,44,50
145,43,135,116,136
839,40,90,80,69
327,10,48,47,53
233,321,44,42,46
960,310,47,46,49
1088,179,97,96,97
1165,191,240,236,251
597,85,43,44,48
557,374,45,44,46
862,121,47,47,52
1061,388,52,51,55
829,347,48,47,50
376,263,212,213,237
1150,92,232,230,247
500,82,44,44,48
1078,68,102,98,94
731,98,47,45,51
671,147,46,44,47
189,424,59,58,55
484,335,43,45,47
959,28,95,72,60
725,451,44,45,48
668,75,42,46,47
163,249,203,201,223
268,481,60,55,48
7,381,44,43,46
301,401,41,43,46
640,415,43,44,46
434,404,44,43,48
204,379,41,42,45
334,366,42,43,45
455,35,58,47,42
590,293,46,45,49
1083,369,53,55,60
844,133,49,49,52
716,415,47,44,49
1184,313,239,238,253
302,190,186,185,205
277,450,63,64,53
223,314,40,43,42
615,199,235,233,254
652,464,62,57,54
568,243,237,232,255
1163,123,238,235,251
1195,297,242,238,253
1019,490,48,49,53
474,174,42,45,51
1035,328,46,47,52
44,4,230,225,247
391,306,42,44,46
1159,66,238,234,251
318,342,45,41,44
981,402,48,45,50
683,403,44,44,47
679,317,45,47,47
633,51,46,46,48
551,284,45,43,45
982,56,92,73,59
910,360,48,47,49
6,15,187,182,195
307,211,112,99,114
299,25,47,48,53
838,472,49,49,54
95,244,216,215,240
544,299,45,44,50
1109,336,235,231,250
479,491,111,98,61
870,230,238,237,255
1198,158,237,235,255
8,319,36,40,39
1126,13,232,228,243
296,49,41,41,45
340,70,33,26,27
