x,y,R,G,B
1036,369,48,47,51
1049,125,47,49,52
210,103,47,50,55
431,396,41,44,48
1075,396,243,239,254
567,61,45,46,45
225,322,39,43,45
244,222,189,185,205
1190,175,241,238,252
428,96,39,39,40
136,258,211,210,235
298,159,35,31,33
363,287,39,43,47
541,351,43,42,47
815,263,52,50,54
1012,118,47,50,53
312,259,204,205,225
1015,201,49,48,53
295,166,186,184,202
1081,431,249,247,255
687,435,44,44,48
762,116,46,47,48
781,266,238,238,255
123,36,89,75,87
653,456,61,56,54
404,155,40,42,43
171,378,39,39,46
513,25,82,62,50
742,132,44,45,46
967,479,45,45,51
53,494,72,69,65
677,209,212,209,240
675,353,45,44,48
926,277,46,46,50
30,247,30,24,29
1020,282,46,45,51
284,398,41,44,45
1066,163,48,51,53
655,482,91,68,54
580,105,39,45,44
811,33,53,51,54
931,112,46,47,52
115,479,48,47,49
686,181,226,229,250
1090,405,242,241,255
857,257,241,238,255
944,367,47,45,51
92,464,80,73,72
27,0,162,159,174
646,499,96,73,58
143,299,37,35,38
573,488,151,148,152
341,390,46,42,46
512,406,43,44,46
121,96,188,156,174
1078,195,57,56,59
435,76,39,37,41
300,333,41,44,45
821,304,51,48,50
27,474,50,47,52
1085,499,227,225,249
867,483,166,153,90
695,167,48,46,49
62,6,227,230,247
634,0,46,51,52
879,151,44,48,50
875,396,45,45,48
546,464,146,145,153
1086,169,54,58,59
658,23,49,48,53
1058,437,50,46,53
521,459,156,155,167
948,497,175,157,104
298,270,45,45,48
200,218,187,186,206
563,159,43,43,47
76,116,152,23,35
1194,227,240,236,254
971,226,45,49,50
777,221,240,239,255
343,9,43,39,43
897,401,46,47,47
777,81,46,48,50
1191,85,238,239,253
347,156,32,37,40
88,301,37,32,33
1004,288,44,45,52
675,231,238,237,255
995,366,48,48,52
882,223,240,236,254
268,285,41,43,47
241,94,42,42,49
404,29,40,32,33
114,258,214,212,234
941,299,46,46,49
1103,180,243,239,255
1012,384,43,47,49
701,75,43,43,50
300,335,42,46,48
893,34,111,108,106
1017,330,47,46,50
769,106,48,48,50
333,290,40,43,46
593,84,43,43,46
409,393,48,42,46
515,108,46,44,49
1159,372,233,233,251
440,146,44,44,46
773,169,45,48,49
46,40,101,87,112
584,320,43,46,47
956,89,42,46,50
1016,475,45,47,52
444,102,46,41,43
1162,142,240,235,252
385,8,41,33,30
1100,39,242,238,255
460,210,147,143,164
859,225,238,239,255
669,61,46,47,50
778,223,235,237,255
1122,417,234,230,248
702,60,45,48,49
575,26,48,49,48
794,323,42,45,48
234,237,67,64,73
100,406,42,44,46
662,14,51,50,52
1099,478,237,235,252
121,403,43,43,49
439,286,44,44,49
1104,248,238,234,254
767,418,45,44,51
539,279,44,46,49
205,234,79,72,90
130,13,188,186,207
48,430,48,48,52
422,217,226,224,250
442,496,174,179,191
916,197,47,47,53
380,178,76,77,95
600,289,46,44,49
302,418,48,45,46
951,273,46,44,50
321,351,43,42,45
561,199,63,60,66
1005,386,48,47,51
850,416,49,51,49
1119,318,231,229,242
1057,421,45,48,53
612,491,159,156,168
997,267,48,48,49
442,150,44,42,46
546,377,41,42,43
1133,461,229,226,242
1065,229,53,50,54
1007,131,46,48,51
733,411,43,47,49
1114,42,236,231,250
658,458,67,59,50
1098,93,241,239,255
783,39,50,50,52
204,76,210,198,217
1104,8,238,238,255
547,363,40,41,43
479,366,40,46,48
161,142,147,144,169
1131,479,228,227,239
360,58,29,23,25
844,273,46,47,50
208,109,41,42,48
1048,34,95,80,63
181,470,53,53,53
844,288,47,47,50
65,455,50,49,52
1151,296,230,229,246
1033,281,51,48,55
69,12,229,229,254
143,336,32,37,38
983,401,46,47,50
444,129,40,41,44
201,440,47,48,51
898,401,48,48,51
329,357,39,43,45
171,173,198,194,213
1046,87,68,64,60
590,61,42,44,46
885,123,48,49,50
341,100,30,27,30
938,155,43,47,49
459,73,42,42,46
1079,370,52,55,59
304,368,44,42,46
455,491,150,151,158
1026,442,47,50,52
213,243,196,192,214
554,159,45,45,48
1125,237,228,227,244
399,238,54,58,62
451,190,222,223,247
93,465,80,71,69
913,344,47,48,51
359,95,31,27,26
275,54,46,49,53
1067,468,54,54,59
811,5,57,58,56
1037,98,52,48,54
8,295,38,37,40
203,350,44,43,47
953,346,47,45,52
687,58,46,46,50
773,253,241,240,255
729,191,239,239,255
140,366,41,40,45
584,310,45,43,49
866,85,47,48,50
141,167,45,46,51
556,490,122,114,99
964,97,47,48,52
863,203,48,47,49
718,241,234,232,255
694,61,49,47,51
445,473,124,110,120
249,64,69,60,78
950,273,48,45,50
387,143,43,42,40
1087,426,242,224,237
1091,302,239,239,254
908,248,240,238,255
3,311,39,39,39
983,295,48,47,52
1123,203,231,227,246
33,276,36,28,31
211,242,191,188,209
67,66,73,52,81
15,199,55,56,63
22,490,61,58,51
177,403,42,44,46
241,490,66,64,52
785,383,45,46,49
78,95,152,24,34
1131,276,229,227,241
1041,371,47,48,51
1154,419,233,232,248
