x,y,R,G,B
201,229,151,143,162
502,18,78,58,49
536,212,193,184,199
235,265,204,203,223
1163,286,239,236,255
667,236,239,242,255
530,192,225,222,245
398,401,43,43,46
50,232,33,31,34
748,277,45,47,51
156,417,43,46,47
434,427,51,53,59
938,437,58,52,101
108,353,38,37,39
908,117,44,48,50
34,144,158,29,35
829,303,44,48,50
1158,42,236,234,250
1163,68,235,234,251
535,421,41,43,43
1139,151,232,229,248
710,266,46,47,48
931,415,49,47,51
938,44,96,72,59
1195,482,238,235,250
1152,426,233,231,247
595,344,44,42,44
557,334,40,43,46
364,88,32,30,28
957,447,45,45,50
978,357,46,45,50
515,102,42,45,45
988,89,49,49,53
68,162,164,33,40
801,226,242,239,255
498,397,43,44,44
415,443,101,93,86
892,397,44,46,46
347,436,94,88,58
351,369,47,42,46
628,237,48,50,54
505,234,106,106,129
109,47,161,163,173
940,194,45,48,48
382,407,43,44,47
669,475,103,74,55
415,88,35,36,41
986,202,49,48,52
602,263,45,44,52
837,46,102,88,69
516,114,44,46,48
194,332,39,41,47
711,279,43,48,48
79,400,43,45,49
720,457,91,84,71
1026,457,47,46,50
485,475,122,122,106
622,316,44,43,47
338,196,194,196,213
676,130,43,46,48
1011,70,103,90,82
406,157,45,41,44
671,133,45,47,50
555,238,230,229,252
170,102,207,194,219
577,476,109,98,85
603,144,43,46,49
33,128,154,22,31
1157,185,239,234,249
783,432,40,48,49
16,134,158,27,36
1080,338,53,53,56
972,301,45,48,50
810,228,238,240,255
881,66,53,53,56
941,270,43,44,50
518,278,44,45,49
794,69,47,45,52
978,498,49,52,55
483,402,39,42,46
679,419,43,43,46
216,120,35,36,40
489,264,214,214,233
475,64,40,41,44
1005,422,50,47,49
890,457,47,47,50
989,275,46,46,51
863,57,103,84,60
268,113,29,27,29
1137,36,232,228,243
5,158,171,28,41
798,175,46,45,50
586,479,106,92,77
862,392,44,45,48
241,232,110,108,111
1182,85,240,237,253
1063,76,81,70,68
637,250,45,46,48
428,89,39,38,42
180,317,37,39,42
786,477,167,161,175
551,318,39,44,46
907,403,46,45,49
738,33,47,49,51
286,68,37,33,34
403,170,45,43,49
709,264,48,47,49
770,255,240,238,255
652,487,94,70,57
338,489,133,130,144
935,42,90,70,59
110,88,180,163,189
78,4,65,62,67
825,8,91,87,77
1108,43,234,233,252
1097,117,242,237,255
567,382,38,43,45
926,148,46,46,54
817,191,46,46,50
342,162,36,39,37
707,17,65,55,56
1160,106,233,235,250
727,46,49,47,49
567,240,232,232,255
704,324,44,46,49
576,232,232,233,255
130,21,30,34,34
706,456,120,98,68
881,455,44,47,50
90,213,216,219,247
97,193,253,250,255
360,327,44,44,48
692,195,241,238,255
652,304,43,45,46
1178,473,237,233,249
705,490,121,104,77
837,324,51,46,51
111,2,116,108,119
34,97,30,33,33
39,458,52,50,52
