x,y,R,G,B
782,88,44,47,51
315,421,43,44,45
1162,354,235,232,247
723,362,44,46,50
99,386,44,43,47
1150,494,231,230,244
549,244,230,230,253
1195,124,238,237,255
627,294,43,44,49
215,240,194,193,211
579,276,46,47,49
862,206,47,49,49
1168,463,234,233,247
805,109,44,48,51
505,113,38,38,42
615,405,45,43,46
867,362,44,48,47
32,184,106,98,101
181,426,49,50,52
543,127,41,44,50
1069,428,58,58,54
985,416,47,48,50
903,140,45,47,52
1083,195,63,60,72
457,31,70,53,44
115,150,200,190,208
154,444,48,49,50
27,330,39,38,40
381,458,139,135,139
570,300,44,45,48
160,415,42,44,46
953,192,46,46,51
489,93,45,42,48
150,167,49,49,55
849,220,237,239,255
730,206,239,236,255
858,404,47,46,49
596,267,46,45,51
1117,99,233,228,246
170,433,133,134,128
782,65,49,48,52
95,486,50,45,51
1185,313,240,239,252
1173,189,238,234,250
1027,187,44,50,54
36,57,129,121,129
457,270,239,235,255
748,355,45,43,48
549,61,47,43,46
837,161,45,46,50
313,378,45,44,46
312,295,44,43,46
687,199,240,237,255
167,421,49,49,51
621,24,51,49,51
713,363,41,46,46
729,283,46,45,46
875,220,211,210,229
251,300,43,42,49
170,440,53,52,53
738,470,145,140,155
1153,234,234,233,249
441,107,45,43,44
996,69,78,67,62
47,482,51,46,50
101,224,203,204,226
490,464,170,171,186
233,325,43,42,45
73,144,160,25,36
1178,78,240,237,253
151,365,41,41,44
910,78,51,49,53
101,392,41,42,44
830,287,45,49,51
46,428,50,50,53
223,235,187,189,204
441,421,27,24,25
598,258,43,48,52
305,300,39,45,44
562,497,151,146,135
109,31,190,186,210
233,83,40,43,50
17,427,54,57,56
1082,4,245,246,255
500,56,43,40,47
373,247,214,213,236
760,486,153,144,149
603,374,43,43,45
46,405,44,47,50
279,138,32,24,30
1069,442,52,49,55
146,45,130,116,134
766,492,156,154,171
518,303,42,45,48
255,329,47,44,44
570,156,43,44,47
151,293,37,37,40
754,410,48,46,53
132,75,159,143,165
1080,29,245,244,249
689,474,117,93,60
1130,130,228,226,243
892,378,45,47,50
256,165,188,184,205
23,383,44,44,48
449,459,153,143,151
993,233,46,49,49
1153,341,231,232,248
0,180,73,84,71
1189,117,238,236,250
826,291,46,49,49
765,107,48,46,49
1070,65,84,72,62
1155,266,235,233,248
535,445,148,147,155
285,397,41,43,44
83,363,44,41,43
529,97,44,43,48
1052,185,49,49,52
524,7,50,43,36
287,20,176,180,202
1169,480,233,231,250
825,9,89,83,78
385,130,37,37,39
518,94,42,44,48
1032,196,46,47,52
925,20,96,69,61
1011,88,47,50,52
970,364,50,48,51
946,299,43,44,50
853,338,47,48,50
722,129,46,46,51
1182,332,238,236,252
1004,227,47,49,51
245,320,44,43,48
491,54,42,42,45
560,6,91,79,57
386,218,209,209,229
740,176,46,48,50
944,6,136,97,85
416,398,42,43,44
895,123,46,48,51
1034,76,95,83,70
8,288,38,32,38
580,176,50,48,51
558,135,43,45,44
15,34,226,228,247
675,67,43,45,49
938,209,42,46,49
1193,188,239,237,255
1144,206,233,232,248
1194,76,240,235,253
291,417,46,44,48
86,152,161,32,40
65,194,40,26,32
903,79,49,52,55
292,155,31,31,32
845,123,45,48,49
1096,257,240,236,255
143,226,198,193,215
119,175,161,168,193
507,387,45,42,44
271,390,42,43,48
783,318,45,46,48
330,446,63,64,51
1151,354,236,233,249
774,212,240,239,255
938,149,48,47,51
99,481,49,47,51
626,117,45,46,48
753,323,48,46,48
921,480,48,51,52
670,477,100,77,57
815,393,44,44,49
539,151,40,45,49
791,490,163,160,178
659,168,50,47,52
317,350,46,44,46
122,295,34,34,37
1133,418,232,229,243
1090,82,63,66,72
30,155,167,29,38
278,109,32,27,25
204,197,186,181,201
321,329,43,42,51
863,243,238,239,255
1097,407,239,237,254
255,223,186,185,204
1014,408,47,48,54
970,254,46,46,50
904,211,47,46,51
50,479,47,46,48
