x,y,R,G,B
581,73,43,43,46
468,323,52,49,54
168,248,203,200,221
691,488,119,92,69
625,441,46,46,48
32,220,31,31,30
408,165,41,41,46
1049,287,147,148,167
1001,227,48,47,53
904,372,46,46,49
230,322,43,41,45
462,397,48,48,48
264,482,65,59,50
534,71,46,42,46
987,16,121,91,67
1025,81,90,79,66
22,103,137,25,35
739,304,45,47,49
0,58,21,22,23
31,407,45,43,47
211,368,45,44,46
892,478,48,49,50
284,358,41,44,44
968,297,45,46,50
525,452,130,124,129
1042,471,48,48,52
1193,417,239,235,254
688,395,83,94,74
960,340,47,46,49
717,367,46,44,48
1087,350,166,165,242
837,215,242,242,255
560,359,41,41,44
1153,377,235,233,247
334,414,41,41,47
775,163,47,46,50
1062,398,55,49,53
40,274,33,31,30
830,16,89,85,79
588,39,45,44,47
785,427,48,46,51
446,72,38,40,45
13,34,226,223,246
767,420,48,49,51
376,171,48,46,49
507,300,43,44,49
489,236,190,194,212
589,455,132,121,115
366,294,43,43,50
720,188,241,236,255
516,79,34,31,35
369,267,215,213,235
927,281,47,47,48
467,285,52,52,59
215,4,171,153,178
891,131,46,48,51
855,158,48,50,54
455,25,82,60,43
231,52,210,200,221
887,496,177,162,109
1145,122,230,229,246
715,499,150,144,152
1097,149,245,244,255
998,187,46,48,49
616,104,47,44,49
992,149,48,48,53
305,492,48,46,49
676,492,110,85,60
720,302,47,46,49
693,335,46,45,49
35,253,33,31,32
7,379,45,46,47
108,354,40,37,42
144,89,143,125,148
1112,318,230,230,248
286,224,189,191,209
591,359,44,43,44
1008,421,44,49,49
849,22,90,88,83
1075,317,243,243,255
494,334,43,44,46
1120,399,231,232,245
73,172,205,192,215
442,386,49,49,51
964,92,48,46,53
163,237,155,146,154
816,448,45,45,53
1143,441,232,230,243
1137,356,232,230,247
1150,147,236,235,248
182,302,39,40,42
166,224,194,193,216
775,57,45,46,50
40,496,76,68,65
298,110,31,25,26
260,330,42,43,46
1024,225,49,49,54
92,197,247,246,255
34,315,39,36,39
1105,394,239,237,254
436,179,48,47,50
256,274,48,46,50
491,425,43,43,44
767,210,242,239,255
719,182,58,51,57
166,177,199,194,218
342,33,40,33,33
89,112,156,26,33
638,386,46,48,50
985,442,116,108,143
788,146,46,48,50
458,75,40,40,41
4,249,34,32,33
114,8,118,108,115
1040,98,47,49,51
201,179,191,185,206
405,73,32,31,33
358,387,40,43,47
172,428,125,128,118
22,190,75,89,81
11,276,31,30,30
648,378,40,43,49
396,355,55,52,52
944,336,47,45,50
683,414,46,42,45
351,462,64,61,52
315,284,46,43,45
923,72,63,59,57
421,229,224,227,245
712,299,41,45,48
159,121,84,84,100
759,333,47,47,50
720,256,239,238,255
693,328,46,43,48
909,213,43,45,53
409,277,46,47,49
917,459,46,50,52
1000,396,49,49,50
416,455,131,121,114
634,296,42,44,48
557,123,47,46,49
421,186,215,217,232
21,89,113,95,92
58,386,44,43,46
1055,461,48,48,52
1037,171,45,50,56
9,426,53,51,56
920,186,50,47,51
889,332,47,46,49
665,157,45,46,50
972,411,46,46,51
123,109,163,31,40
663,438,43,43,47
138,72,165,148,174
692,98,45,46,51
1111,281,231,230,249
617,189,237,235,255
553,123,43,44,46
323,124,33,29,32
168,129,103,99,120
1108,480,233,227,246
936,374,42,46,51
394,363,44,41,44
682,378,41,41,46
864,250,242,239,255
383,396,40,46,46
636,372,39,44,47
1164,15,238,235,251
49,154,165,28,39
1162,18,237,236,251
1059,54,104,102,100
150,489,46,46,49
827,226,245,242,255
971,9,107,76,62
971,147,50,47,51
14,433,47,50,51
251,481,110,107,87
222,51,202,193,216
1023,248,47,48,53
330,145,36,33,38
943,424,45,44,49
113,319,33,34,35
725,97,45,47,47
166,160,39,40,45
516,285,48,43,44
779,449,44,46,51
765,457,48,48,50
280,140,34,25,28
503,110,20,19,22
321,434,67,62,55
372,86,29,28,29
1132,211,229,228,244
609,102,48,45,47
333,189,196,191,211
178,253,203,202,224
330,405,44,41,47
898,26,95,89,79
989,299,46,47,51
5,434,61,59,57
583,65,43,42,48
370,46,33,23,29
1097,425,242,243,255
327,403,41,43,44
546,306,45,45,45
716,153,42,44,50
877,60,94,85,73
452,115,42,42,48
433,185,65,62,70
177,216,191,191,211
1097,0,227,224,215
1023,396,47,47,54
934,99,49,48,51
227,337,42,44,48
1023,75,100,87,72
294,27,49,51,56
288,126,30,28,29
321,38,35,33,34
743,145,46,47,51
210,0,180,162,185
781,457,49,46,51
641,225,236,237,255
1029,63,107,97,82
207,201,187,183,206
1055,7,95,76,62
133,210,200,196,219
593,398,50,46,49
470,373,45,45,50
45,315,41,36,40
240,77,49,52,55
817,43,53,50,53
412,362,45,41,47
332,486,144,142,155
850,45,106,93,66
723,378,44,46,48
104,449,46,49,48
735,437,41,45,46
27,393,46,44,48
853,13,96,93,88
700,215,242,237,255
250,492,62,57,52
394,329,38,42,47
565,121,42,44,46
663,271,44,46,47
591,202,183,182,194
687,491,116,88,60
842,211,53,53,55
493,421,46,44,47
745,155,47,46,50
506,295,46,44,46
248,420,37,44,44
514,30,70,55,50
423,232,228,226,247
93,205,179,196,212
806,220,243,242,255
552,332,45,42,46
0,252,32,29,31
540,57,43,44,45
1085,220,253,252,255
912,158,43,49,53
654,111,46,46,48
647,83,48,47,48
621,54,45,44,47
1115,444,228,227,245
635,117,44,46,45
1069,463,85,65,58
850,331,45,47,50
223,109,37,37,39
352,447,76,75,57
155,435,50,49,52
663,326,44,42,46
541,230,218,226,240
413,49,28,27,30
208,334,40,43,43
1118,441,231,228,243
1073,159,58,55,59
857,471,49,49,49
1122,451,228,226,244
