x,y,R,G,B
16,14,208,203,230
51,157,164,29,37
910,222,51,53,57
397,190,210,210,230
573,91,45,45,47
969,188,49,47,52
1004,342,44,45,49
1096,386,247,245,255
422,267,225,224,247
970,408,47,48,50
743,194,239,235,254
931,495,173,157,84
50,383,44,44,46
883,287,46,47,51
565,447,131,130,134
145,54,139,122,143
392,32,46,34,31
91,330,34,34,34
709,202,242,238,255
597,385,47,44,48
303,196,188,187,207
731,195,239,237,255
1004,222,47,50,51
850,469,52,47,52
482,265,202,200,218
751,73,48,46,51
965,358,48,47,48
311,385,45,45,45
1119,256,227,227,243
1010,203,45,48,52
1185,153,238,239,255
321,37,39,36,38
470,55,38,41,44
82,469,86,74,70
989,307,45,46,49
959,239,45,48,51
37,393,44,44,48
900,167,47,48,51
969,189,47,47,51
727,218,56,56,62
173,350,42,41,47
956,464,45,48,50
867,334,43,46,52
65,277,37,33,35
640,79,47,46,47
218,124,35,33,39
374,289,44,45,49
979,310,48,45,48
295,360,41,45,43
157,264,209,208,230
238,457,65,62,53
427,157,43,43,48
1066,16,96,77,63
32,495,62,60,55
0,148,168,30,38
1029,32,101,78,63
813,234,241,239,254
616,297,45,45,49
360,16,42,31,29
538,91,46,44,46
89,377,36,41,40
509,475,107,104,76
1073,387,243,248,250
486,407,38,43,42
706,147,47,46,52
416,109,42,39,45
574,123,45,46,46
460,379,58,57,60
1124,472,228,226,242
138,490,45,48,49
564,252,234,231,255
236,195,185,182,202
331,245,168,172,191
1106,41,239,236,254
375,232,211,208,233
6,273,36,32,33
996,227,46,48,51
996,462,76,85,71
906,435,49,51,53
173,16,160,144,163
865,73,45,48,52
347,348,44,44,44
6,350,41,42,46
497,99,42,42,45
1120,308,228,227,242
727,454,46,47,51
422,427,49,45,49
776,303,45,47,51
820,479,168,164,179
582,21,57,53,53
496,8,99,74,53
1088,353,197,179,182
740,84,44,44,52
770,224,73,61,70
159,209,196,191,210
20,133,155,25,30
446,482,171,172,182
990,4,124,92,68
268,125,33,24,30
777,217,243,239,255
807,2,56,54,55
95,101,158,30,35
1035,1,105,79,65
920,77,47,48,50
506,430,49,46,46
367,181,197,195,219
621,22,53,51,53
139,39,132,117,136
451,400,122,118,121
676,49,47,45,46
276,149,29,28,33
596,484,187,183,197
888,452,46,48,52
1089,0,253,251,255
985,433,43,47,48
466,119,40,43,47
548,176,49,49,56
672,248,48,48,52
589,431,46,42,49
78,226,50,52,56
1196,216,242,236,254
802,275,49,50,55
654,65,48,47,48
1177,283,236,234,251
857,177,46,48,52
1061,320,49,51,53
197,489,48,48,49
853,345,44,44,49
759,314,43,45,50
379,386,43,40,43
203,375,44,43,46
479,254,178,181,187
181,433,47,48,49
1121,370,235,231,247
50,186,174,35,43
548,51,43,42,46
1040,172,48,49,53
316,31,44,39,46
1185,343,240,236,253
626,216,233,231,254
984,45,99,75,58
695,281,45,46,46
1178,154,238,236,254
697,115,46,44,48
831,309,48,48,50
112,497,49,51,53
551,290,42,46,49
1126,91,228,228,242
1146,173,233,231,246
257,296,43,41,45
488,431,165,167,174
620,164,46,47,48
1033,243,52,48,55
618,35,41,45,49
421,20,37,29,35
588,324,41,41,47
1008,290,48,46,50
605,383,45,42,47
606,380,44,44,48
1067,417,54,51,53
1075,103,52,52,56
921,81,45,47,53
1039,243,49,50,54
739,386,44,46,46
173,393,43,42,45
1024,81,93,80,65
703,466,130,110,84
123,207,209,207,232
644,12,48,46,54
328,230,48,51,52
27,456,48,51,51
79,431,47,47,52
443,497,168,170,188
1119,183,235,231,248
377,271,91,95,118
880,95,44,48,50
72,441,48,47,50
191,495,48,46,47
691,80,46,45,49
706,348,44,43,47
801,384,44,45,49
1164,36,237,236,252
405,157,41,42,45
275,11,108,100,117
305,484,92,93,93
112,42,195,196,214
1101,342,241,237,253
630,57,46,44,50
74,365,43,39,42
640,184,238,232,255
339,228,198,200,220
963,110,47,49,52
9,59,21,24,25
708,251,52,53,55
12,68,101,95,106
367,272,48,52,52
923,257,46,48,51
820,376,48,45,48
1180,323,238,235,248
158,307,36,36,37
395,469,79,74,71
337,441,76,73,51
513,488,117,110,81
228,315,44,41,46
380,497,79,76,54
701,363,46,46,50
742,37,52,50,54
708,190,237,234,255
730,46,46,46,50
631,42,49,45,50
1063,296,209,196,161
311,32,46,45,49
196,23,183,145,155
883,459,48,47,51
362,17,41,31,30
643,483,150,148,158
502,297,43,45,48
604,7,55,51,52
209,374,41,43,45
1185,430,236,232,250
446,353,42,46,49
838,341,48,44,51
927,341,43,45,50
583,38,46,46,46
864,302,47,46,48
1159,190,237,235,251
827,180,46,45,50
827,199,45,46,53
896,364,44,45,47
40,18,68,67,68
1,360,45,41,46
62,189,38,27,30
489,422,40,42,44
239,464,91,87,58
333,417,42,45,48
898,157,45,48,52
675,23,51,51,51
415,476,134,121,124
525,1,41,34,30
826,236,210,217,252
467,17,117,93,66
482,76,41,43,44
515,96,44,44,49
1030,369,47,48,52
802,365,45,46,51
760,50,47,48,50
658,350,44,44,49
280,333,43,42,46
845,122,45,47,50
425,102,40,40,43
398,284,46,46,50
1165,131,241,236,251
1092,389,251,248,255
1100,486,234,232,250
136,14,190,189,212
340,143,35,34,35
592,338,42,44,44
372,73,30,26,29
863,336,49,46,50
870,377,44,45,47
640,217,60,58,61
648,157,47,47,51
1022,47,101,79,59
1081,155,250,249,255
78,397,42,44,46
732,310,44,43,48
1003,84,78,73,63
1073,166,52,52,59
419,191,218,216,238
888,72,49,48,51
325,313,46,43,47
1123,194,230,229,245
966,439,147,153,199
21,47,61,61,66
858,219,240,236,254
898,117,47,47,48
287,446,62,61,52
792,2,51,50,55
1125,430,229,227,243
134,10,189,187,209
286,58,41,41,45
655,443,47,43,47
1057,400,47,49,52
43,398,47,45,47
935,336,46,45,48
125,204,211,209,233
551,451,149,146,161
1062,434,53,50,54
413,411,44,44,48
642,430,42,43,49
363,372,40,43,45
964,16,105,75,60
207,165,33,31,31
1058,236,49,50,55
822,129,48,47,53
276,409,39,44,47
660,118,47,46,49
569,149,40,45,45
273,61,48,47,52
112,292,34,31,32
948,32,83,67,57
643,72,45,44,50
790,54,49,47,52
387,243,63,61,73
190,382,43,42,46
39,344,37,38,41
950,378,49,46,50
245,212,88,79,89
881,418,45,46,49
949,151,48,46,52
857,227,237,238,255
684,372,43,46,46
56,354,43,40,44
1069,129,50,50,55
487,38,83,62,50
44,289,40,33,36
321,260,207,206,226
631,167,45,47,50
345,231,201,203,224
32,311,36,33,38
110,131,160,26,36
573,224,233,233,255
124,293,35,33,36
208,67,33,28,30
363,267,210,211,234
0,391,47,46,50
84,455,47,51,52
230,451,63,65,56
505,161,47,46,51
1130,469,230,225,243
34,468,51,48,53
810,394,45,44,48
1143,143,236,230,246
1014,99,49,48,52
403,441,196,203,218
590,22,48,49,50
583,51,45,43,48
1151,234,238,233,248
1166,85,240,235,254
1184,64,239,237,252
691,207,238,237,255
59,13,232,229,250
750,86,43,45,49
269,474,106,99,76
977,482,48,47,50
194,205,59,53,62
219,201,179,178,187
628,277,41,45,46
162,112,37,31,33
529,374,42,42,44
157,30,166,150,174
981,381,47,45,51
301,452,75,75,59
572,17,92,79,60
845,262,239,240,255
587,154,48,46,52
199,495,48,46,48
655,267,48,46,49
987,27,111,84,67
344,281,43,43,46
876,126,48,51,50
422,383,42,44,48
31,6,225,226,251
299,127,34,27,27
371,163,39,42,45
1194,64,238,235,254
925,479,50,50,51
986,174,45,46,51
109,434,74,61,62
583,31,45,45,48
187,106,113,118,136
316,188,193,191,211
1055,303,113,80,79
624,277,44,43,43
247,163,166,158,172
581,490,133,122,117
730,222,87,79,68
123,9,121,113,126
633,284,44,44,46
753,368,40,45,50
807,460,47,47,51
1059,474,50,50,53
298,31,52,52,59
896,97,46,47,50
32,230,33,28,28
573,168,47,45,49
147,323,38,35,41
700,181,56,51,58
