x,y,R,G,B
125,54,154,139,160
820,218,239,239,255
215,425,48,47,51
267,368,46,44,47
654,271,45,44,48
272,32,205,211,226
953,410,48,46,51
658,203,239,235,255
129,485,44,47,49
651,249,48,46,50
579,364,45,43,47
880,260,240,237,255
1119,307,228,228,246
1042,298,57,55,63
428,329,42,43,49
813,273,48,49,51
135,282,147,145,182
52,5,226,226,249
520,27,52,49,46
294,2,120,121,142
1033,11,108,82,63
919,208,46,46,53
811,424,48,49,52
292,157,33,29,35
712,407,45,46,46
354,227,196,197,216
1010,68,67,60,59
848,496,170,159,112
785,260,242,241,255
546,355,43,42,46
212,432,45,46,49
853,307,46,46,48
200,371,45,43,43
671,318,44,45,49
281,439,78,76,55
827,279,46,47,50
586,434,45,43,47
268,75,44,39,44
866,326,44,48,49
842,58,60,56,55
1098,361,244,242,255
779,361,42,44,46
325,395,45,42,49
916,471,48,47,51
517,118,45,46,47
1036,165,50,51,53
1146,222,231,231,245
332,261,209,207,230
612,469,155,152,148
873,276,47,49,52
528,88,44,45,49
1074,396,237,237,254
125,309,34,31,34
221,213,162,158,173
1152,241,238,234,250
741,90,43,46,48
210,28,184,167,191
657,293,46,44,44
639,381,43,46,50
428,267,231,231,254
1188,491,236,232,248
925,186,50,47,53
491,348,42,41,46
717,271,40,45,48
301,282,47,44,48
1030,16,102,80,63
148,67,160,145,164
580,280,44,44,47
723,42,82,65,60
407,215,212,211,234
822,145,45,46,50
1072,249,56,56,61
757,270,48,49,54
870,278,47,47,50
649,301,43,45,45
883,60,92,87,84
645,424,46,45,48
1147,224,231,229,247
871,320,46,47,51
218,88,133,133,151
306,388,45,43,46
495,68,47,44,48
846,213,55,53,58
1148,268,233,233,244
790,344,47,44,49
909,10,217,166,94
793,119,49,48,50
452,337,49,50,51
339,207,198,198,216
112,146,201,190,209
1178,405,232,232,249
1023,246,50,48,51
288,308,43,44,46
664,244,45,49,52
748,196,53,54,57
851,82,48,48,52
294,215,190,186,209
842,74,48,48,49
276,429,64,64,55
625,494,111,105,94
843,87,47,46,50
370,50,35,23,28
124,62,164,143,168
891,312,44,46,48
733,46,50,46,50
1183,393,239,237,252
359,289,44,44,44
214,149,29,28,27
411,437,122,123,119
612,433,45,42,51
81,343,34,36,35
226,59,182,177,195
651,326,44,43,48
389,222,213,213,235
467,366,49,47,51
171,221,192,189,210
656,421,42,42,48
860,244,239,240,255
822,451,46,46,51
413,173,43,43,48
1143,473,234,230,244
465,396,44,46,49
599,376,47,44,47
759,46,49,50,51
841,296,47,46,51
273,206,181,180,196
539,13,54,51,49
1182,192,236,236,254
898,418,46,46,49
938,191,46,48,50
1004,408,42,45,50
1150,136,234,232,250
224,129,33,28,32
585,170,47,46,50
130,377,42,41,45
889,235,239,238,255
307,178,189,185,207
399,324,44,45,48
156,148,167,162,182
994,149,47,46,52
494,36,84,63,49
1011,333,50,47,52
373,480,78,75,67
913,224,54,50,57
937,26,90,65,62
542,263,226,227,251
370,427,45,42,46
582,261,236,235,255
767,362,45,44,48
824,476,162,164,176
281,351,44,45,45
131,357,44,40,44
1143,64,232,231,246
166,13,164,144,162
33,336,40,41,41
557,400,42,41,45
1003,225,49,47,51
1088,85,81,82,101
429,402,40,43,47
868,447,46,49,53
1127,139,229,228,245
291,102,34,28,29
515,484,110,105,79
888,420,44,47,51
1132,74,229,228,242
985,104,47,47,54
261,443,56,56,53
1161,42,236,235,251
744,100,47,47,48
749,474,127,127,106
75,166,168,46,75
729,241,238,237,255
611,48,46,43,48
1096,497,239,235,252
1075,34,106,101,108
786,278,235,235,254
497,473,129,129,111
1130,483,227,226,238
812,50,48,50,54
485,117,39,42,45
768,309,45,46,48
989,25,120,89,70
1079,244,194,194,214
176,106,201,198,222
638,289,43,43,47
615,153,47,45,48
151,270,214,211,235
201,428,47,47,49
599,479,176,173,181
1049,94,49,50,56
165,162,40,39,41
402,266,228,225,247
1142,205,232,228,245
2,429,51,51,51
950,343,48,45,52
782,370,45,47,48
216,310,41,44,47
225,186,189,186,204
932,78,49,46,53
410,468,79,72,65
441,60,42,39,40
461,134,38,44,46
955,349,51,45,52
989,145,47,49,51
683,257,44,46,52
42,213,61,63,67
428,57,34,35,37
878,87,51,47,51
1182,437,236,233,250
398,416,45,43,44
200,477,48,49,50
736,238,239,239,255
127,447,47,46,53
994,233,47,48,51
270,37,151,154,175
948,469,46,47,50
1050,246,45,49,53
255,430,74,71,55
933,322,43,47,49
882,356,46,46,50
358,470,56,53,54
348,12,44,39,36
211,323,43,43,45
516,478,114,107,84
814,83,49,46,50
475,477,166,175,191
271,261,202,197,220
814,294,47,46,49
48,422,52,55,53
522,409,40,43,45
721,267,47,47,51
797,166,48,44,51
384,378,45,44,43
488,230,198,192,209
340,277,46,45,50
667,312,44,45,50
391,414,47,42,45
718,418,43,46,49
37,415,53,53,50
88,407,39,46,46
107,253,214,213,238
886,497,176,163,105
748,307,47,46,50
4,19,224,225,247
798,169,43,46,48
466,483,180,183,201
86,284,35,31,33
1065,21,88,72,62
690,328,45,45,49
625,433,44,44,47
1046,50,123,114,104
747,304,48,47,47
87,259,217,211,236
763,96,45,45,51
238,119,37,29,35
23,117,147,22,30
844,458,45,46,52
257,21,80,62,89
707,323,47,44,47
1192,241,237,236,251
485,379,44,46,45
416,233,226,222,243
552,112,45,42,45
130,264,216,213,237
264,382,43,42,47
468,344,55,53,57
652,68,45,47,49
1178,328,236,234,250
39,260,32,29,30
49,353,42,42,47
863,401,42,46,47
172,63,145,129,151
1171,373,238,234,252
582,283,45,45,51
945,152,47,46,52
348,449,74,73,56
718,142,48,46,47
1052,307,51,50,54
204,268,206,202,226
867,461,47,47,51
434,178,47,45,49
905,41,86,81,75
197,370,41,43,47
591,366,37,42,44
574,407,43,43,43
580,376,40,42,46
35,83,110,87,95
960,158,47,47,53
550,71,38,44,46
821,45,53,53,53
201,368,46,43,48
897,335,46,45,49
930,276,46,46,51
831,238,202,200,192
895,424,75,73,55
1002,16,127,94,71
267,417,45,44,44
1146,241,230,231,247
827,373,47,45,52
530,330,43,43,46
1041,282,199,201,238
1187,40,239,238,252
355,378,46,44,49
981,451,56,51,68
1029,322,47,48,52
373,401,41,42,46
554,114,45,43,48
110,46,187,182,201
584,479,118,107,94
231,71,161,165,176
332,225,199,199,218
1085,384,225,235,245
433,120,39,41,45
365,431,56,51,50
151,446,47,49,50
489,184,29,24,28
1086,421,182,177,245
753,383,46,44,47
1020,416,49,47,52
399,325,43,44,48
448,308,43,44,47
190,210,53,41,59
1084,44,59,57,62
102,445,47,47,52
1048,360,51,47,53
239,300,43,43,45
575,321,45,43,49
361,331,45,43,48
690,65,44,46,48
1199,235,240,235,252
920,200,49,47,51
896,255,241,238,255
1049,263,48,50,53
510,26,90,67,51
877,234,241,239,255
317,42,38,32,34
1010,359,48,48,53
508,91,17,20,17
566,444,135,131,134
361,240,56,53,56
897,300,48,48,50
427,455,159,149,130
900,438,51,49,54
1147,83,235,233,250
427,411,42,40,48
776,440,43,46,51
1131,85,228,227,243
552,36,43,44,46
432,435,58,55,59
179,327,39,42,43
234,110,31,34,35
1191,256,238,237,254
553,420,44,42,46
59,115,153,25,35
614,34,45,44,47
1136,335,230,227,245
1193,296,240,236,251
520,6,71,62,64
694,185,238,235,255
823,158,44,47,49
1106,174,240,240,255
1041,473,48,47,51
12,71,111,101,113
768,471,164,163,177
6,262,33,27,29
540,475,170,166,183
373,319,45,43,46
504,266,215,215,242
982,395,45,47,52
1176,147,238,236,253
630,10,48,50,51
685,274,48,45,47
594,184,228,229,246
292,36,48,51,57
580,331,43,45,48
