x,y,R,G,B
319,215,196,196,209
1070,235,49,51,54
646,263,51,50,53
556,392,42,42,46
132,65,158,141,162
749,202,240,240,255
292,93,36,25,30
464,325,25,26,23
90,59,123,115,124
56,390,43,42,49
899,182,44,50,49
840,5,94,91,90
923,450,120,126,77
311,47,38,29,35
438,328,46,45,44
986,122,48,48,50
429,162,42,43,45
859,370,50,48,53
627,97,47,44,48
930,196,46,47,52
312,108,33,25,30
87,148,162,33,38
831,487,162,154,162
264,179,193,184,206
799,453,48,47,48
160,384,44,44,44
818,308,46,46,50
381,460,177,173,186
517,10,78,62,55
556,419,42,42,44
268,475,107,100,80
718,91,52,50,57
1112,492,228,227,246
1193,265,240,236,253
911,51,81,76,72
761,414,49,46,50
183,281,211,209,232
762,457,48,46,49
979,217,47,46,51
11,423,51,49,53
93,474,84,73,69
791,148,49,46,53
429,199,219,220,241
569,158,43,44,48
227,110,36,36,35
1007,121,43,47,53
585,184,235,234,255
14,149,167,29,39
619,90,49,44,50
1153,251,235,233,249
1150,479,229,228,246
868,243,62,61,71
1079,353,250,247,255
370,227,212,209,233
772,155,46,46,49
905,38,90,81,74
1072,325,103,88,58
42,164,170,31,40
914,286,44,48,49
518,415,36,42,47
808,25,52,52,52
497,93,42,42,46
388,44,33,26,27
355,181,194,196,213
207,209,188,185,203
429,64,38,33,38
79,473,95,78,79
704,90,46,45,49
193,280,209,210,231
180,209,48,40,46
399,74,36,31,30
187,472,102,103,116
660,111,46,46,50
512,62,28,34,36
1187,368,238,236,250
1180,86,241,237,253
1058,454,50,49,56
536,194,225,225,247
198,130,35,34,41
676,396,59,49,57
351,304,43,43,45
293,402,45,43,44
298,184,187,186,206
263,492,88,75,53
182,159,39,34,37
131,258,213,212,234
587,345,46,43,46
605,195,238,232,255
1184,431,237,234,250
781,429,43,45,50
727,313,45,48,50
224,318,39,45,44
1091,1,244,245,255
814,197,51,48,53
437,288,43,45,50
945,118,44,49,51
1166,493,234,231,246
63,44,114,104,111
210,299,42,41,46
443,125,45,42,47
253,251,196,193,213
287,57,41,39,46
246,485,56,56,51
70,444,49,48,52
1170,322,237,236,250
970,97,47,48,49
1177,227,239,236,251
520,420,43,40,45
443,208,169,162,178
1025,383,47,51,54
371,30,34,27,27
928,161,48,47,53
902,220,51,51,55
441,10,36,28,32
1199,131,239,239,254
412,495,199,196,208
548,88,46,44,49
236,157,141,134,144
337,222,202,199,219
280,428,73,72,53
218,203,186,181,202
992,429,44,46,51
488,499,109,99,59
140,176,58,58,65
48,471,44,47,47
991,164,45,47,51
187,432,48,46,52
137,434,48,48,50
543,152,46,46,44
34,244,32,31,34
683,165,46,46,50
394,80,35,29,33
293,228,189,186,205
568,101,44,44,49
462,402,44,49,51
957,152,45,48,50
44,371,42,44,45
875,107,45,46,49
953,374,45,46,49
314,497,43,46,48
719,453,47,46,48
194,187,191,185,206
21,2,227,227,246
634,302,45,46,48
858,119,47,46,49
577,435,45,42,43
855,424,47,48,52
1129,469,228,226,243
920,287,44,47,49
1181,161,239,237,251
60,71,27,28,30
1143,210,234,232,249
252,183,190,185,205
1171,139,237,234,251
934,129,46,45,52
1122,121,228,227,242
375,290,46,44,47
930,489,77,64,50
1069,102,53,52,56
183,131,49,49,53
