x,y,R,G,B
576,496,164,156,158
568,384,46,42,46
647,61,45,46,49
41,417,58,56,53
923,352,45,48,52
620,455,187,196,216
307,346,41,42,46
439,260,233,232,255
1040,91,57,56,55
1183,245,240,237,252
966,284,46,45,50
394,468,83,77,73
805,5,54,52,55
493,294,43,44,47
437,174,47,45,48
862,452,50,47,51
1015,378,45,45,50
920,161,50,45,50
157,172,205,203,229
159,97,200,186,209
953,161,46,46,50
41,256,33,31,33
738,191,238,235,255
475,253,30,26,31
730,78,46,50,50
448,67,42,41,40
764,327,43,46,47
748,156,47,46,49
662,439,45,42,45
575,366,42,43,44
558,386,43,45,47
44,369,43,41,48
167,73,144,133,155
973,337,43,45,50
92,253,219,215,238
1088,82,60,62,62
949,278,46,45,52
668,342,44,46,48
501,498,106,96,57
530,0,66,46,34
297,224,195,192,213
548,237,227,229,250
1034,401,47,50,54
22,204,32,24,41
1077,138,51,50,56
163,490,44,46,50
840,344,49,48,50
681,45,47,47,50
208,284,79,80,105
181,428,48,50,50
351,58,34,20,22
1070,150,51,53,59
882,242,69,60,63
108,249,215,216,238
947,128,48,46,53
231,99,37,36,40
392,49,29,26,27
953,246,45,46,49
978,73,75,64,57
295,197,190,185,206
849,180,45,48,51
170,42,167,153,175
1075,489,52,53,58
629,41,47,48,50
294,367,42,42,46
120,476,45,47,48
334,307,41,43,47
181,146,36,36,41
73,171,204,192,214
494,455,162,161,178
243,1,178,165,189
189,86,38,29,33
1182,295,239,234,254
558,43,44,44,45
538,108,47,44,46
805,288,49,49,51
31,225,34,31,31
825,339,46,45,50
846,28,88,86,81
275,318,47,43,45
1011,91,49,48,53
280,2,210,198,217
809,174,43,47,50
1041,441,47,49,51
189,441,50,47,54
816,436,47,46,52
599,280,45,43,47
233,385,44,46,47
233,198,187,185,203
103,76,146,133,152
620,34,45,46,48
298,235,186,183,199
7,214,33,29,29
347,35,39,28,31
906,29,107,102,94
929,217,49,44,53
409,450,60,57,54
602,326,45,43,46
378,201,137,136,165
128,126,191,179,205
311,236,186,186,205
10,131,160,24,35
505,159,47,48,50
632,151,49,45,50
1166,431,236,236,252
85,178,214,203,226
1133,136,230,228,244
550,436,146,148,149
346,356,39,43,45
861,469,47,47,52
787,118,44,48,50
98,276,34,32,31
384,180,47,45,50
455,371,28,23,25
355,264,215,213,234
727,326,43,47,50
333,121,35,29,34
564,229,233,231,255
524,262,225,224,243
452,341,65,61,62
779,454,48,47,50
776,50,46,50,51
792,337,47,47,51
921,412,48,47,51
696,19,49,49,54
1184,86,243,236,254
330,17,39,37,42
144,436,46,48,49
704,78,44,48,48
1027,87,76,67,61
1055,70,100,86,80
541,101,44,43,47
899,15,106,102,96
293,236,88,91,100
137,91,155,141,163
177,185,191,188,208
411,148,44,42,46
1068,195,54,51,53
309,57,36,28,33
891,198,47,47,49
25,130,156,25,35
1097,484,234,233,253
215,267,206,203,221
442,461,133,82,77
214,427,46,47,50
867,243,76,64,116
320,3,65,55,58
870,124,44,47,50
430,439,70,54,52
773,161,48,47,49
261,225,189,186,206
341,388,42,41,46
1112,65,231,231,248
54,271,30,29,30
1121,82,229,227,242
623,318,45,44,48
326,15,80,81,89
828,83,46,47,51
405,163,42,42,47
150,129,209,206,229
181,471,53,49,53
373,496,65,57,54
