x,y,R,G,B
812,363,43,48,51
253,484,75,68,53
881,346,44,46,47
803,222,239,238,255
214,476,49,46,48
450,34,47,43,42
1130,201,231,227,244
702,2,54,50,53
495,203,178,178,183
161,169,148,145,157
979,252,47,48,49
81,334,34,36,36
599,196,237,234,255
973,52,75,63,57
191,170,152,147,158
519,272,47,47,50
1143,408,236,231,244
642,135,44,46,49
1144,215,232,231,246
608,247,233,236,255
446,295,44,45,47
831,261,209,207,237
85,106,155,26,36
801,452,47,49,52
280,163,125,119,124
981,283,50,46,50
832,374,48,47,50
355,14,43,34,33
257,283,41,45,46
159,93,188,173,196
294,290,40,45,48
418,294,42,43,48
15,38,65,67,71
1058,88,63,60,57
332,130,32,31,30
75,29,145,138,151
823,221,243,239,255
479,450,170,178,200
295,234,50,50,57
205,36,162,30,39
959,104,45,48,52
104,39,189,184,204
754,152,48,45,52
426,363,43,43,45
502,434,175,177,194
40,270,35,27,30
507,152,48,47,50
1016,56,106,86,70
1110,441,230,231,251
916,476,49,49,53
1073,170,52,51,55
812,207,50,51,53
1145,46,234,231,248
103,474,49,47,49
364,65,28,24,25
1190,51,240,237,253
306,139,29,27,31
760,296,45,45,48
935,152,50,48,53
851,144,45,47,50
951,455,102,104,78
617,245,241,237,255
71,437,49,49,51
189,353,44,41,46
290,481,65,63,52
232,111,32,32,35
150,172,208,207,233
778,191,48,47,53
545,497,119,109,82
886,445,49,47,51
443,201,228,226,250
1160,260,237,234,249
849,244,240,240,255
904,355,44,45,49
1113,433,228,228,245
938,267,49,46,53
3,66,26,19,24
342,160,40,35,42
717,249,239,239,255
134,24,33,30,34
170,30,173,155,178
17,25,227,225,249
164,294,36,36,39
236,479,52,50,50
231,222,186,182,204
164,357,39,40,43
201,434,48,48,53
195,484,47,48,52
522,93,45,47,46
630,203,228,229,252
898,103,48,48,52
767,284,49,48,51
294,103,34,27,32
457,58,41,38,42
487,257,213,209,230
578,492,179,172,171
866,130,47,46,51
826,52,49,54,57
1003,347,47,46,53
638,379,44,44,47
293,202,137,130,150
348,322,45,43,47
168,269,208,207,228
583,242,234,233,255
1112,213,233,232,247
1073,251,77,65,58
316,83,32,25,27
983,288,45,48,50
1109,242,232,233,247
737,334,45,43,47
85,293,35,29,31
972,319,47,47,49
1151,180,232,234,248
124,133,38,28,29
130,296,36,33,34
289,195,188,184,202
218,367,44,43,46
748,7,49,50,51
994,253,44,49,51
944,102,48,48,52
867,102,44,47,50
950,227,48,46,52
36,227,32,32,32
431,431,48,47,52
742,454,45,47,54
464,495,110,106,61
1146,342,231,230,248
327,358,42,42,45
916,254,56,53,88
1191,144,238,236,251
21,11,222,224,246
310,478,117,108,97
53,476,45,46,49
59,1,226,225,248
103,432,107,80,83
1031,224,51,48,50
448,421,46,49,46
138,387,42,41,44
589,336,42,43,46
1061,267,48,50,53
1136,23,232,230,245
1151,46,237,233,249
871,237,241,237,255
986,27,109,83,66
640,90,47,45,51
89,177,209,202,224
145,15,199,196,217
356,50,30,23,27
637,342,48,43,47
365,135,33,34,39
402,133,38,41,44
808,55,47,46,50
98,177,225,227,248
451,463,182,181,201
190,489,46,45,48
159,276,215,214,235
593,437,46,45,45
931,218,48,47,54
463,438,178,187,203
1040,54,128,121,102
292,319,45,41,45
602,184,232,230,253
176,459,72,51,53
232,444,49,51,53
509,82,10,12,13
890,433,48,46,52
763,42,49,50,53
773,144,46,46,49
41,220,30,31,29
1121,137,229,228,242
1054,134,49,49,54
421,332,42,46,49
487,481,117,110,68
129,191,87,83,114
690,87,50,47,48
376,194,205,202,224
814,272,51,48,51
533,124,46,44,46
245,246,196,192,211
368,415,44,46,43
271,244,183,185,198
380,345,49,43,48
143,311,37,35,37
1198,316,241,237,255
387,206,106,101,133
438,73,40,37,39
1068,419,55,53,55
1180,149,238,235,253
260,329,46,44,47
1061,323,48,51,51
854,42,96,86,78
694,196,241,237,255
494,395,38,41,43
320,137,30,30,30
344,58,31,25,27
695,19,51,49,51
281,481,55,50,53
769,476,148,145,159
1048,342,51,52,55
1111,494,230,228,246
671,479,106,78,57
939,492,159,148,93
161,349,42,40,42
719,77,50,44,48
186,392,44,44,47
856,428,49,49,52
328,110,33,29,31
741,361,47,45,51
630,231,235,235,254
149,378,41,44,43
726,76,45,47,51
879,208,46,49,53
437,286,45,46,50
1067,166,51,50,55
1116,479,230,227,241
973,399,49,47,52
834,130,45,46,50
658,39,45,46,48
974,171,46,48,49
717,98,45,47,49
329,199,152,150,175
924,27,142,93,70
237,296,46,41,48
657,243,44,47,49
768,476,151,147,160
754,267,53,53,58
174,264,210,207,229
986,452,70,57,51
1037,404,48,49,53
294,1,112,116,137
1026,329,50,49,50
1199,469,238,235,249
318,91,33,26,28
1002,264,44,47,52
1192,353,237,235,251
108,268,42,39,45
167,77,161,151,171
84,356,38,39,41
193,146,34,35,39
1025,112,46,47,50
757,220,238,236,255
869,232,241,237,255
860,89,50,46,50
642,117,42,46,47
830,340,48,47,51
1058,315,50,50,52
290,72,31,31,35
805,260,237,236,254
1015,29,97,77,60
291,29,49,50,54
1052,90,64,61,59
201,30,161,33,39
550,229,188,193,226
64,164,167,32,40
815,348,42,48,48
7,192,57,52,62
417,181,46,46,50
482,103,40,43,46
354,469,66,52,54
499,430,57,48,47
1066,207,51,52,56
600,367,41,42,48
466,94,43,41,44
173,172,191,190,210
279,465,92,83,52
543,240,221,224,247
206,385,40,44,44
548,399,40,40,41
189,263,204,201,218
418,111,39,40,41
314,183,191,185,206
694,148,46,45,51
305,168,187,184,202
236,487,60,60,55
833,477,171,164,160
52,108,150,23,28
506,410,39,42,44
1053,279,58,58,70
1048,276,212,214,180
56,245,32,30,24
49,420,55,55,54
235,65,212,211,234
512,479,109,103,73
445,135,40,42,47
968,342,42,46,51
680,106,44,44,48
720,106,46,46,48
64,90,150,30,35
177,85,35,29,30
49,341,37,38,39
1118,117,229,228,243
141,78,163,150,172
456,202,228,226,249
9,36,224,223,244
165,460,52,50,54
340,341,45,43,48
1119,106,232,229,246
830,151,47,46,53
57,329,39,35,39
575,153,38,44,48
63,484,61,58,55
112,1,115,105,115
916,130,46,46,51
1134,345,232,228,246
1176,321,238,239,251
855,336,46,48,52
983,473,46,46,52
1072,422,240,247,238
1052,176,52,51,53
918,471,49,47,53
133,16,190,188,210
1079,311,85,80,86
275,265,192,195,221
557,340,43,43,44
224,16,173,162,187
643,166,47,46,46
584,57,43,44,47
549,74,41,43,47
859,344,46,47,52
762,224,75,70,79
583,182,230,229,254
119,23,31,25,27
724,223,235,235,254
391,359,45,43,44
1,174,55,49,59
646,249,47,48,52
649,38,51,46,51
141,136,150,149,169
1111,468,229,229,245
748,435,48,48,49
1043,231,47,49,53
1153,300,234,233,248
535,241,221,220,246
1147,17,235,231,248
296,289,46,42,46
1019,498,49,50,52
324,248,204,201,222
991,485,51,47,50
1025,55,149,131,84
557,323,42,42,47
93,450,44,46,48
41,410,46,44,48
293,489,46,45,49
564,249,231,231,254
414,89,36,37,38
496,97,43,41,45
556,188,228,231,251
673,323,43,43,49
558,465,147,145,156
425,292,43,43,48
668,53,46,46,50
491,152,54,55,59
1027,161,46,50,54
237,110,32,34,36
715,138,44,48,47
1099,64,241,239,255
990,416,46,45,50
1033,433,48,46,51
56,409,44,43,46
823,179,47,47,50
589,451,134,122,132
667,171,48,47,50
195,271,203,202,226
854,373,45,45,51
177,440,48,50,51
445,106,40,42,43
436,148,41,44,47
666,22,50,46,51
904,238,240,237,255
252,466,102,90,62
500,64,42,43,45
748,153,46,46,50
296,247,195,191,214
1175,376,236,233,252
431,146,43,43,44
945,427,49,47,52
134,149,131,129,150
440,134,42,42,45
266,384,45,42,45
141,194,175,174,185
617,97,50,46,50
575,391,44,44,46
181,13,171,147,170
476,150,41,44,44
1064,381,47,51,53
39,92,99,96,128
1050,388,52,50,52
972,438,61,41,85
623,34,47,47,48
366,467,57,53,52
39,200,67,84,69
46,334,37,35,40
984,44,104,78,58
1165,116,237,235,250
546,25,46,45,51
366,469,58,55,50
1107,337,235,233,255
1028,84,82,71,65
604,397,40,42,47
