x,y,R,G,B
1064,274,62,50,70
1053,287,222,237,255
580,240,235,236,255
675,466,105,78,56
613,74,48,45,46
1153,360,234,234,248
950,123,47,47,51
56,236,36,32,35
994,271,46,46,51
258,273,43,43,48
1146,94,235,233,247
842,357,46,46,52
102,108,188,152,163
944,104,48,49,52
1036,370,52,49,56
111,276,138,133,161
1099,118,240,239,255
11,232,36,32,34
1089,174,64,66,71
493,319,42,46,47
613,213,233,237,255
602,382,45,43,46
419,370,44,44,46
314,143,33,31,34
440,231,229,228,250
316,270,46,46,51
175,479,44,46,47
311,154,35,33,35
441,112,40,40,43
1191,314,239,238,255
1053,28,97,79,65
120,46,160,142,164
207,178,186,182,204
339,351,40,43,46
685,216,190,186,205
637,89,42,46,45
144,427,48,48,50
142,10,191,191,212
399,331,43,45,46
316,24,39,44,47
188,120,114,115,130
731,23,52,48,52
258,99,36,31,32
89,58,86,65,81
526,95,44,44,45
359,225,208,203,226
105,294,38,34,36
987,63,109,88,77
926,488,65,55,52
687,179,51,49,59
357,135,35,33,34
1049,79,62,59,60
513,275,45,46,46
779,120,45,45,50
1198,331,234,237,252
585,183,232,233,254
926,496,174,162,115
910,24,142,123,104
797,258,242,239,255
978,409,46,46,49
256,333,43,44,47
500,309,45,45,49
64,135,155,28,41
1019,172,49,48,54
766,236,76,64,72
253,402,44,42,48
589,211,233,228,255
2,237,32,27,30
867,214,51,50,55
478,478,112,116,114
831,49,64,63,58
885,414,45,47,49
592,70,42,45,47
1041,320,48,49,52
241,405,45,44,48
117,145,138,129,136
1155,108,235,233,248
883,445,46,47,50
804,84,43,46,49
835,324,46,48,52
163,331,37,38,42
228,312,46,42,48
1125,230,232,229,246
205,73,181,177,192
281,216,188,185,205
900,118,46,48,51
165,214,189,189,208
22,252,32,27,29
298,372,45,44,45
111,447,61,63,65
65,474,57,52,51
862,51,101,89,72
558,167,46,45,47
1196,91,239,236,252
1099,105,229,232,251
1015,460,49,50,51
1033,246,45,49,53
616,19,49,50,51
97,478,49,48,48
1007,247,44,49,51
657,140,46,46,46
1165,352,238,236,251
206,228,189,186,208
865,124,45,48,51
23,479,48,46,52
596,386,43,43,43
578,405,40,42,43
411,88,36,35,40
766,448,45,46,52
1034,198,44,47,53
1049,227,46,49,49
1018,49,102,81,63
974,186,45,46,51
348,52,34,27,26
20,224,36,34,33
1141,421,233,228,241
262,463,108,97,74
899,369,45,47,51
882,328,46,45,48
117,269,214,212,233
742,117,45,45,48
539,213,227,226,249
99,405,41,44,45
564,25,48,46,48
1016,195,49,47,52
827,256,240,237,255
322,249,200,198,217
89,41,36,26,37
946,404,42,43,50
149,285,45,42,42
258,137,31,24,27
752,211,240,239,255
948,201,44,47,51
1199,471,241,238,251
447,407,24,28,32
472,485,131,127,101
869,438,44,46,51
776,102,46,46,49
832,13,89,86,80
565,100,42,43,47
955,71,70,66,71
850,410,45,48,51
159,362,40,41,46
587,477,115,108,95
974,51,79,64,58
934,434,53,52,54
821,262,56,55,59
545,255,228,230,253
207,110,42,43,50
856,378,48,47,49
169,130,116,114,130
1103,238,240,236,253
801,224,236,239,255
764,365,46,44,48
1164,455,233,232,249
593,71,42,43,47
560,422,43,41,45
315,357,42,44,46
690,373,42,45,47
514,271,48,49,46
102,20,116,109,113
982,82,50,50,52
265,244,51,44,51
783,13,52,50,55
720,469,151,147,164
870,429,50,49,49
891,320,42,45,50
741,387,45,45,47
382,92,31,29,32
885,351,45,47,51
977,257,49,46,49
1029,151,47,49,55
57,109,151,19,34
556,59,46,42,49
110,432,91,60,63
231,271,203,203,225
