x,y,R,G,B
944,328,44,46,48
236,424,74,74,49
991,360,45,48,50
1194,472,234,234,251
405,408,42,45,45
916,261,55,55,66
1042,442,48,47,53
1100,84,238,235,254
486,141,43,45,45
160,140,164,161,188
696,139,44,45,49
525,383,43,41,44
287,34,50,49,56
470,64,41,41,45
1067,196,49,52,55
917,200,47,50,51
1194,302,239,236,250
503,452,155,152,166
1026,493,46,50,51
1113,397,236,230,253
48,135,157,23,34
960,190,46,46,49
279,211,71,58,83
437,478,91,88,75
968,124,43,47,49
1037,354,48,49,52
92,454,46,45,47
1104,249,237,235,254
302,60,36,28,34
507,290,46,54,52
1111,495,230,227,244
413,58,32,31,32
875,453,49,48,49
707,332,46,44,49
332,132,32,28,32
511,98,37,30,34
132,211,202,198,220
545,152,43,44,45
437,466,32,25,28
205,101,145,152,170
35,66,114,104,114
623,39,45,45,48
180,384,43,42,43
94,290,35,30,35
103,394,48,45,45
1043,379,50,49,53
817,394,47,43,47
187,224,136,132,160
471,359,49,49,51
667,239,53,53,55
346,170,43,44,47
45,496,84,79,73
773,387,44,46,50
1050,180,44,50,51
394,333,45,43,46
553,239,226,227,254
569,207,225,231,254
442,27,51,40,39
720,159,46,46,50
850,335,46,45,48
906,3,189,131,83
1050,465,48,48,54
65,309,32,33,30
63,456,49,47,53
590,29,48,48,49
1059,230,49,50,53
570,134,45,46,44
889,134,47,48,52
415,264,229,228,250
1152,66,237,233,249
86,248,221,215,240
656,66,45,47,48
110,407,43,45,45
577,278,44,45,49
934,55,108,104,98
589,229,236,234,255
974,351,45,45,50
1000,254,45,47,51
314,144,34,31,34
200,249,199,194,217
605,159,47,46,47
816,482,171,166,180
238,230,39,41,43
870,476,49,49,50
504,0,117,97,107
441,187,204,201,217
915,282,43,47,51
726,303,40,44,47
348,97,33,28,31
880,264,240,239,255
944,53,108,75,61
685,141,48,45,50
234,324,42,43,46
884,393,45,46,50
983,21,105,79,61
853,92,45,47,49
224,429,49,46,48
743,413,44,45,48
1093,224,243,243,255
735,420,44,46,48
1012,127,43,46,49
119,260,213,211,236
818,110,48,47,50
191,400,39,42,49
195,356,44,44,44
546,448,150,143,152
95,55,32,28,32
290,281,42,42,49
855,134,46,47,48
1023,126,50,48,51
422,413,43,44,43
668,118,43,47,48
970,322,47,46,49
813,250,241,238,255
548,483,145,144,149
243,144,34,26,30
501,290,43,44,50
708,413,44,44,49
820,121,47,47,50
906,331,46,45,49
