x,y,R,G,B
960,295,45,45,50
420,22,32,31,31
617,260,47,47,49
496,272,49,48,51
54,417,55,54,54
390,193,203,205,224
47,142,159,26,34
208,439,44,46,49
184,194,189,183,205
1041,474,49,48,57
202,429,46,46,46
332,131,32,29,31
561,54,45,42,46
1053,462,48,50,52
373,226,211,209,232
853,27,97,91,85
287,200,46,41,54
507,210,219,213,235
1010,471,46,49,52
5,490,57,53,53
913,301,46,46,50
370,89,30,28,32
827,303,48,46,51
1008,320,46,50,50
887,384,41,46,48
3,318,43,40,43
1186,290,238,235,252
873,369,42,47,47
173,407,43,44,46
68,319,36,34,39
1122,42,229,228,246
471,93,42,43,47
262,205,188,184,202
500,419,44,43,46
859,102,46,47,51
900,5,117,76,62
397,234,210,213,235
398,142,42,40,43
28,406,48,46,49
503,154,47,46,49
707,248,51,52,54
198,75,203,197,217
166,463,52,50,52
460,481,184,187,204
125,194,103,100,116
1036,426,44,50,57
166,361,47,42,45
237,330,47,45,46
173,178,195,191,212
1131,344,230,226,241
1019,379,48,48,51
654,90,46,47,48
876,197,43,48,51
1179,128,238,236,253
416,306,45,43,44
306,43,37,38,38
493,276,46,48,49
1109,423,231,231,248
820,497,155,149,149
88,278,40,32,33
1051,301,51,55,57
884,394,45,46,49
705,308,42,45,49
270,298,42,45,46
1074,53,78,66,63
30,353,41,44,47
895,177,49,45,52
638,74,44,45,49
248,283,205,205,226
971,203,46,46,52
534,458,157,152,160
678,15,52,51,49
979,331,46,47,50
768,33,50,50,54
1185,21,238,237,254
285,324,40,44,47
341,101,31,26,30
780,439,42,47,47
508,464,156,158,166
165,135,110,118,132
73,121,155,25,37
628,426,44,45,48
854,312,44,48,50
865,291,46,48,50
1145,490,228,227,242
874,61,95,80,67
1052,220,51,48,54
897,332,45,48,50
1040,352,52,49,53
569,299,43,42,47
314,47,37,27,32
272,65,43,42,47
1062,90,66,61,62
688,429,44,41,46
67,237,35,37,37
191,378,41,42,46
873,219,121,115,130
135,239,113,95,105
642,451,194,202,224
213,311,38,42,45
495,140,68,63,65
710,343,44,45,49
400,214,55,51,57
638,428,45,43,47
270,382,41,42,46
756,128,49,45,52
83,154,163,32,37
696,407,46,46,49
835,152,47,48,50
1158,6,236,233,249
25,84,120,115,123
957,389,44,46,49
217,310,39,43,46
65,130,155,31,42
412,104,41,40,40
211,251,199,197,219
25,282,33,32,35
551,383,43,41,45
1188,171,237,234,252
319,444,74,70,52
679,130,46,45,49
994,374,48,48,50
810,380,46,46,50
529,439,148,148,163
403,290,41,47,47
1198,229,237,235,251
280,44,37,41,46
462,425,46,45,50
476,360,45,44,49
655,396,49,46,49
880,263,241,238,255
88,454,47,47,46
706,392,44,47,46
148,162,45,42,49
159,219,198,192,211
485,35,80,62,49
991,67,90,76,69
304,463,128,120,95
130,50,147,126,149
537,218,229,227,249
254,441,53,53,51
783,206,215,218,235
157,358,41,40,47
202,256,202,203,221
475,451,155,160,183
30,385,40,43,48
550,385,40,41,44
230,234,182,185,199
340,257,207,205,228
638,69,45,46,49
936,109,47,47,50
1049,140,51,48,56
364,425,41,43,45
284,195,189,185,206
408,362,44,42,45
431,370,43,44,44
381,320,47,46,47
257,37,111,113,135
159,38,154,137,158
4,432,52,50,54
805,286,46,48,50
383,400,43,44,45
131,267,215,212,234
430,413,45,46,48
301,65,33,28,32
427,225,221,221,244
230,477,49,45,51
750,430,49,44,49
921,98,50,47,53
190,200,139,136,139
1129,312,230,228,246
1199,291,239,239,253
131,134,39,29,32
1178,222,238,235,252
577,287,41,45,45
1096,272,240,237,255
1133,243,231,226,242
705,382,48,44,49
227,405,46,44,45
732,107,46,45,48
828,484,174,168,180
216,492,81,76,52
404,419,40,43,45
556,233,202,200,223
409,163,41,43,42
39,466,49,47,48
1062,142,49,50,55
1144,275,233,230,247
748,348,47,45,49
757,239,240,238,255
846,268,50,49,54
153,45,144,130,151
528,72,43,43,45
675,349,44,43,46
418,243,223,223,244
171,413,47,43,48
764,472,159,155,171
960,105,45,48,51
95,32,128,118,125
319,196,191,190,210
619,393,37,40,47
103,42,185,181,201
833,161,47,47,50
805,499,160,157,178
367,72,33,27,29
331,383,41,44,51
232,126,34,26,31
406,462,58,54,53
568,30,44,44,48
335,450,59,56,54
1054,174,52,50,54
344,97,33,27,30
12,245,35,31,32
617,133,45,44,48
443,271,233,233,255
54,12,226,225,247
456,67,46,41,44
165,229,64,58,82
872,287,49,47,52
333,449,63,63,56
451,492,181,182,198
933,83,48,49,52
1051,279,119,118,206
292,275,45,43,45
754,433,45,46,49
881,499,178,164,121
591,198,237,239,255
266,68,46,47,53
915,316,48,45,50
574,1,48,47,49
826,270,49,48,53
429,34,33,34,33
357,461,58,52,52
930,299,45,45,46
426,52,34,32,37
1028,5,115,84,66
479,124,45,43,49
780,200,49,49,52
1076,482,55,52,57
1002,142,49,49,53
1170,222,240,236,251
993,291,47,45,52
134,318,35,34,37
339,173,188,188,206
1105,166,237,237,255
739,44,49,49,52
185,112,112,117,129
1104,454,233,229,249
139,63,153,138,159
755,338,45,43,49
1113,102,232,231,247
487,85,42,44,45
1069,458,77,62,52
666,392,42,47,52
1191,294,239,237,252
51,450,52,48,53
173,93,46,31,44
951,209,45,49,50
168,121,124,124,143
99,39,182,183,202
1139,371,228,228,243
814,365,43,46,50
696,104,50,46,51
1042,346,49,48,53
940,285,43,45,51
697,6,48,49,53
237,460,69,65,53
305,64,33,24,30
19,425,50,52,52
1172,193,239,235,252
1015,376,46,46,51
635,409,42,42,47
649,455,108,114,154
405,305,48,42,47
1075,441,49,52,53
868,63,86,71,61
133,380,46,41,45
105,458,47,48,52
484,131,44,42,45
616,328,44,43,49
513,475,102,103,79
1016,387,49,47,51
108,48,51,31,56
116,450,48,50,52
1122,378,235,230,248
424,390,43,43,50
668,328,44,44,47
556,303,43,42,46
75,180,205,195,219
703,151,41,46,49
353,291,41,45,46
793,15,51,50,54
392,31,45,35,31
751,81,49,45,49
785,436,48,46,51
101,415,44,45,47
1114,431,233,230,246
334,498,137,139,152
246,222,187,184,206
540,445,145,145,155
48,182,176,36,44
353,229,170,165,182
529,167,47,46,46
793,49,49,52,54
739,195,239,237,255
12,165,173,33,39
698,422,43,44,45
415,114,39,40,44
689,232,236,237,255
300,283,44,44,45
897,392,45,46,52
881,170,46,48,48
653,237,53,51,57
909,495,176,159,96
30,54,107,97,111
21,152,167,28,39
591,327,44,44,44
892,72,48,49,49
388,283,45,46,49
141,288,38,35,38
672,448,45,44,47
97,2,41,27,35
593,281,46,46,46
1131,74,227,228,243
120,323,35,31,33
934,383,48,46,51
640,479,145,142,136
222,346,43,43,48
272,170,188,187,206
121,306,36,31,32
245,257,196,194,214
352,201,55,53,66
596,234,235,234,255
838,8,91,91,89
1080,81,58,58,61
514,197,75,61,83
1054,488,49,50,55
342,451,65,61,52
1087,271,88,85,93
1014,221,48,49,51
147,2,31,29,31
867,363,47,49,51
697,230,237,240,255
942,131,48,47,50
193,47,192,178,202
10,248,37,30,33
62,387,41,43,45
1198,408,235,234,254
728,359,42,46,51
172,424,124,127,126
755,100,45,48,49
1198,363,237,235,251
770,33,49,51,53
899,487,175,158,89
133,385,44,44,44
269,170,188,186,203
662,494,108,80,60
1047,135,48,49,55
752,282,44,47,50
553,346,44,42,47
31,247,35,26,32
442,143,48,42,46
21,144,163,27,36
457,167,41,44,49
234,283,207,210,227
683,305,46,45,51
241,216,190,185,204
317,231,154,154,178
242,436,63,62,53
665,328,42,43,45
531,51,42,43,44
193,260,204,201,224
954,386,45,46,48
84,60,193,191,212
562,1,121,84,68
6,186,79,71,76
100,355,37,40,40
555,417,40,42,48
336,433,70,69,52
329,361,39,43,46
205,18,188,165,181
1180,456,236,232,247
530,68,47,45,46
991,116,45,48,50
763,358,46,47,48
1053,243,49,49,53
1006,10,118,90,68
330,142,36,30,33
949,117,45,48,49
1192,82,238,239,254
1029,192,48,48,52
784,191,45,47,47
494,144,73,68,71
196,317,41,42,43
175,337,39,41,44
826,322,44,46,48
907,194,47,48,54
717,431,43,44,46
599,362,44,41,44
1009,255,46,48,51
672,461,97,76,52
1021,382,50,49,52
529,444,137,135,140
200,8,155,27,35
570,419,44,43,47
747,441,49,50,53
890,362,47,47,47
593,407,42,45,45
792,363,43,45,50
433,288,47,47,48
348,337,42,42,46
451,239,233,230,252
166,451,48,48,49
548,40,46,42,48
661,163,45,45,50
579,309,46,41,46
887,198,46,45,52
95,16,118,109,119
92,255,214,214,238
362,351,43,44,48
266,245,134,128,132
431,451,141,97,97
1187,270,237,236,255
1183,229,240,237,252
119,384,39,41,47
17,376,44,44,48
348,249,210,209,231
208,265,203,202,224
1110,318,235,232,251
432,299,46,46,48
126,477,50,51,49
254,119,30,28,26
217,485,70,65,51
220,319,44,42,47
63,471,46,47,51
372,181,197,196,220
72,230,47,52,54
834,276,45,48,53
368,67,29,27,28
857,135,47,46,52
169,408,41,45,49
268,222,187,186,204
13,490,48,51,52
1186,417,235,236,253
1008,256,46,49,53
657,344,45,44,45
985,372,47,47,50
406,80,34,33,36
436,138,42,43,47
103,210,223,224,250
521,262,225,224,247
580,390,40,41,47
327,464,104,100,102
590,232,233,233,255
729,0,50,48,53
304,382,42,44,47
132,461,46,49,47
223,188,188,182,204
1176,306,236,235,252
774,206,240,238,255
749,60,47,46,50
423,388,41,43,47
63,177,148,35,41
1199,302,239,237,253
4,420,49,52,53
149,409,46,44,49
399,310,45,43,46
242,372,42,46,46
708,246,52,51,56
834,400,48,48,48
868,20,102,97,93
555,440,147,142,149
363,272,50,51,53
1157,82,237,233,249
39,214,23,24,24
680,199,235,238,255
848,351,44,44,50
181,357,38,43,43
866,273,49,49,54
968,329,42,46,50
748,229,229,235,255
1108,239,232,234,251
32,204,108,103,110
403,142,42,41,45
470,416,45,45,45
303,342,40,44,44
484,207,24,28,31
740,432,43,46,47
1103,329,237,237,254
338,136,36,30,35
375,207,204,206,225
878,181,47,48,51
126,256,216,212,236
1100,483,239,235,251
400,175,44,43,46
946,109,48,47,51
313,240,55,50,55
686,131,45,45,47
1184,223,241,238,252
148,0,31,27,28
610,74,43,44,47
971,355,45,48,50
827,386,45,46,50
905,358,43,46,48
846,378,46,43,47
198,400,43,45,45
899,27,98,89,80
798,430,48,44,50
991,97,47,49,52
1176,421,232,233,249
454,410,63,66,68
23,249,33,31,28
1126,242,231,229,245
936,404,42,47,50
797,257,244,241,255
199,312,44,41,47
469,274,60,61,70
198,408,45,45,49
153,386,44,42,48
482,18,68,53,46
1112,331,232,230,246
471,70,45,41,45
397,441,201,208,225
395,222,210,210,234
527,173,43,47,51
491,23,74,57,49
452,496,147,143,138
518,124,42,46,47
963,499,51,52,54
1157,357,236,234,250
86,433,47,47,49
456,460,187,189,204
453,357,44,47,49
969,356,49,46,50
264,60,49,48,53
259,461,99,86,61
692,255,45,45,49
1060,173,47,48,52
725,372,43,45,46
747,159,44,47,51
424,72,36,36,39
7,430,52,50,53
895,440,63,52,50
1023,288,46,48,52
36,106,36,30,29
639,178,233,235,255
916,324,48,44,48
718,37,62,56,54
907,413,46,47,48
745,251,240,238,255
614,213,234,236,255
155,81,160,146,166
102,107,184,136,145
34,486,55,54,54
651,224,242,238,255
510,438,165,170,182
447,191,223,224,243
737,50,45,45,50
53,10,229,229,254
746,271,48,49,54
311,283,45,44,44
339,350,41,43,47
851,369,47,47,48
1197,157,238,234,255
230,93,34,38,41
548,127,40,45,45
771,468,160,160,169
483,47,42,41,44
694,488,126,97,68
410,188,211,208,232
91,220,216,214,241
1168,244,238,235,250
973,163,48,50,50
10,306,39,40,42
161,441,49,46,49
1014,56,106,84,67
1157,211,235,234,247
822,13,81,76,70
723,475,151,146,158
858,421,47,49,52
971,171,51,47,51
1038,391,50,49,52
911,281,43,49,51
384,149,37,40,44
177,163,39,37,42
252,58,139,141,158
39,374,45,44,47
1062,46,113,107,114
109,318,41,36,34
250,171,189,186,203
282,246,195,192,211
347,273,44,44,46
124,209,206,205,226
1038,337,45,49,53
484,455,177,177,199
