x,y,R,G,B
173,170,186,182,200
1103,352,242,237,255
96,306,30,30,33
737,381,44,45,46
178,274,212,210,233
1070,416,53,56,58
1109,162,238,236,255
1194,57,241,238,253
1080,178,94,89,115
47,136,157,23,35
658,63,43,46,48
1028,353,47,47,53
812,424,43,47,50
979,257,48,48,50
413,372,43,42,46
1101,398,239,239,255
718,17,181,125,85
273,408,42,43,45
757,488,162,155,161
1171,123,237,235,251
949,239,48,49,50
424,305,43,44,46
904,460,48,49,52
413,186,211,211,232
77,363,40,40,42
1158,457,235,232,251
1066,471,52,52,56
372,55,31,25,25
1,456,51,51,52
603,313,45,44,47
652,36,46,46,50
1032,336,48,48,53
675,472,108,79,55
795,29,51,51,53
890,357,49,46,47
861,178,48,49,50
258,119,32,28,26
408,375,42,42,46
31,36,230,228,252
600,184,235,229,253
870,427,96,93,122
752,304,45,48,47
895,389,42,45,49
56,357,42,42,45
43,95,53,37,60
747,424,42,43,45
564,409,39,42,44
73,60,187,185,205
111,367,42,41,41
559,353,44,43,47
421,329,41,45,48
234,490,63,59,51
27,125,149,23,30
999,392,46,47,51
326,499,133,134,149
881,230,241,237,255
1197,402,241,235,255
1187,36,239,239,251
1174,44,239,237,254
991,85,48,48,51
749,100,48,47,48
1089,392,246,246,255
592,387,42,42,47
907,121,46,47,52
688,390,42,45,49
1148,265,233,230,247
469,147,43,44,46
345,88,28,24,27
647,470,82,79,80
8,440,57,56,54
816,412,133,128,119
363,499,65,58,54
1174,349,236,233,252
1172,313,236,235,250
925,432,55,47,74
680,245,47,47,52
974,243,45,48,54
242,36,31,29,32
166,85,160,154,167
1012,226,49,48,51
978,168,50,49,51
1095,326,241,240,255
907,67,107,102,101
503,271,49,47,52
911,284,46,49,53
111,186,152,157,175
597,444,188,194,214
773,299,48,48,51
837,35,75,71,64
707,482,128,113,93
616,48,49,45,47
416,78,37,35,39
1001,24,119,89,66
1131,4,230,228,243
479,339,47,43,48
1114,220,232,233,250
1009,90,49,49,52
524,43,37,33,34
555,314,41,44,43
1071,493,228,235,231
639,67,43,46,47
331,206,59,60,70
693,53,48,46,47
377,92,31,30,31
1134,376,228,228,244
573,99,44,43,47
1092,29,164,169,230
1162,162,236,235,251
1017,104,49,47,54
748,215,239,237,254
363,429,47,44,46
24,319,40,35,38
439,23,38,36,36
728,351,43,43,46
184,104,124,125,144
872,457,48,47,52
893,102,46,46,53
248,479,102,97,70
12,107,142,19,32
181,341,43,41,42
723,70,43,46,50
667,33,50,50,51
206,483,46,48,49
731,295,41,44,46
837,3,92,91,86
295,258,201,200,221
258,338,43,44,47
405,273,88,88,113
948,212,44,46,51
38,307,33,34,37
134,21,97,91,112
933,483,47,46,50
1165,244,237,232,248
1156,125,236,235,251
534,285,40,45,46
13,422,52,51,50
856,113,50,46,50
578,232,235,233,255
324,101,37,27,32
370,436,112,106,101
633,144,41,44,49
1180,41,238,237,251
848,18,90,87,83
991,173,45,48,53
512,481,108,101,74
873,245,235,237,253
353,341,42,44,47
1133,71,232,228,243
105,468,46,46,51
979,449,50,48,50
685,77,49,48,51
546,243,230,228,252
672,446,44,44,45
1127,457,228,225,241
865,56,106,90,65
665,346,46,47,50
336,294,40,43,48
834,153,47,47,53
1195,263,237,238,252
210,89,114,112,131
689,323,45,47,48
613,202,87,80,103
1162,416,235,234,245
1043,406,49,52,53
729,66,40,46,50
527,81,48,43,47
