x,y,R,G,B
751,253,241,238,255
432,43,34,33,34
652,430,42,44,48
1189,139,238,236,252
827,144,48,47,50
731,265,49,48,52
537,401,41,42,42
823,413,103,101,107
745,440,48,48,49
392,467,73,66,57
1165,296,239,237,249
688,373,43,43,48
276,45,38,39,47
88,351,39,37,39
646,356,45,44,48
1119,212,230,228,246
542,298,47,42,47
414,348,40,44,45
1041,485,47,50,52
174,236,194,194,214
1000,374,47,47,49
851,308,47,48,53
826,429,47,46,48
533,440,149,148,163
818,478,166,162,181
905,11,230,178,86
1176,258,239,239,255
830,491,167,165,171
300,480,85,78,62
487,205,79,74,65
650,93,46,44,50
419,413,44,44,46
726,77,40,46,49
1139,58,230,229,245
740,336,44,48,46
55,480,45,46,46
361,277,46,45,48
276,317,44,42,46
15,144,165,31,36
129,345,38,39,40
209,467,46,47,50
842,448,48,48,50
1135,197,231,231,245
22,498,71,63,51
677,23,51,49,53
1125,205,232,229,244
1198,275,237,236,252
663,303,48,45,48
1167,18,239,235,254
446,495,176,176,194
706,262,46,46,49
185,452,49,48,51
704,344,42,47,51
548,56,45,43,49
103,86,170,114,130
798,413,72,53,50
1012,351,45,46,50
876,206,46,47,51
863,412,46,46,50
1122,154,229,227,243
1115,314,230,227,247
893,296,45,46,49
1186,387,236,234,250
686,41,45,46,50
693,407,46,44,50
500,100,49,46,46
113,439,64,64,61
1030,344,45,47,50
453,427,62,61,66
1037,405,48,49,53
537,146,43,46,46
1134,292,228,227,242
278,74,38,35,39
853,184,50,48,53
462,419,44,47,49
806,231,69,64,94
629,374,43,43,46
257,435,61,61,57
75,388,42,45,43
971,39,95,74,61
1199,417,238,235,253
243,219,190,185,205
778,90,47,47,51
516,0,123,104,89
1024,270,47,50,52
996,20,129,96,71
85,443,47,48,49
1119,445,227,228,243
15,243,34,29,31
729,452,43,45,50
487,383,43,44,47
535,441,146,145,161
138,294,35,32,35
1051,275,239,236,255
361,131,35,32,36
469,334,55,56,56
1053,457,50,49,53
1032,463,47,48,52
648,9,50,49,53
1169,382,240,236,254
522,369,42,42,45
900,14,119,106,92
532,187,223,224,244
675,340,42,43,48
343,352,43,41,45
1172,107,237,235,253
17,284,36,30,33
691,493,121,96,68
770,169,42,46,49
111,371,41,39,43
838,35,78,75,68
419,241,217,218,241
357,16,40,32,34
535,435,165,166,179
1193,310,238,234,251
1185,52,240,236,255
707,10,59,50,56
299,247,198,197,218
650,3,47,49,51
999,208,50,47,51
649,356,44,45,50
818,229,244,240,255
982,236,49,47,52
243,216,193,186,208
1120,286,229,226,242
221,182,187,182,205
856,66,51,48,52
247,78,46,49,54
696,177,48,48,52
423,220,227,224,246
523,432,59,56,52
437,178,46,44,50
126,57,158,142,164
921,489,157,151,119
802,339,43,44,52
2,86,129,117,128
407,86,38,35,38
1012,495,50,49,53
71,134,161,41,71
65,497,45,48,52
1144,286,230,229,243
654,10,51,49,52
1047,46,118,109,99
1066,119,49,47,53
1025,428,45,48,53
449,192,224,223,245
262,40,212,213,239
222,40,50,34,50
1053,298,234,237,252
918,102,47,47,52
60,236,39,33,37
