x,y,R,G,B
1009,82,102,89,71
324,354,43,41,48
1052,133,50,49,53
70,296,37,30,34
157,322,39,37,40
79,175,207,201,223
603,120,46,44,48
1034,109,48,51,53
355,359,40,42,46
205,446,46,49,48
123,85,150,136,158
385,202,204,201,224
407,115,40,41,40
1197,426,236,236,251
411,123,43,42,44
1171,96,236,236,252
587,276,44,43,49
761,157,43,45,49
62,367,43,41,45
137,331,37,35,39
150,292,37,36,37
1113,453,229,229,243
693,269,47,45,48
619,184,229,229,250
445,148,47,43,44
576,363,45,45,47
849,376,43,46,52
382,278,50,44,48
804,242,241,239,255
243,325,41,43,46
326,464,106,101,99
585,11,94,84,63
513,98,36,36,40
1160,180,237,234,251
782,260,245,240,255
14,256,31,27,29
176,338,40,40,43
584,72,44,44,46
151,341,39,38,37
625,470,181,176,191
1174,342,239,235,250
580,461,140,134,142
828,471,49,49,50
865,482,166,154,92
1139,442,231,228,242
451,221,90,79,92
669,136,50,46,51
1101,163,238,238,255
798,138,45,48,49
758,218,240,238,255
642,196,237,236,255
1007,142,50,48,53
447,173,46,46,49
891,316,49,45,49
1066,425,55,50,56
0,312,36,39,40
1167,165,237,234,251
334,455,68,64,51
1066,157,49,50,54
607,185,236,232,255
657,168,51,47,51
47,153,162,26,36
497,12,76,57,48
1097,43,238,236,255
5,443,57,58,57
179,386,44,43,44
64,486,60,59,51
1184,141,239,237,254
222,240,53,43,57
592,231,235,235,255
201,328,40,41,46
214,173,189,182,203
586,300,45,44,48
897,258,240,238,255
959,499,58,53,57
723,401,71,65,52
408,453,70,69,59
1083,164,61,61,63
989,66,98,80,76
570,225,231,232,255
925,403,47,45,49
394,359,43,43,47
1050,412,47,49,50
948,155,42,46,49
367,165,41,41,46
777,236,83,68,73
998,421,45,50,49
947,273,50,47,50
1070,326,57,51,56
446,192,224,225,246
1049,130,49,48,53
972,445,47,47,50
437,328,47,43,47
749,7,53,48,53
1003,275,48,48,49
736,498,109,102,84
1080,255,247,245,255
491,176,19,19,20
373,257,212,214,236
335,345,43,44,47
28,111,148,21,31
518,332,42,42,44
587,499,105,95,77
334,297,43,44,45
200,378,41,45,44
254,386,42,42,46
1055,292,55,51,59
934,283,49,47,50
30,497,65,56,56
1065,178,49,50,54
554,495,129,124,115
962,474,50,48,51
869,195,49,46,49
849,117,45,46,50
25,7,210,207,230
472,289,47,53,57
221,383,43,42,45
980,267,45,48,50
835,392,46,45,50
472,226,209,206,225
1122,113,230,227,243
175,197,45,36,46
339,67,30,27,29
1127,372,230,228,244
1072,119,54,53,57
169,60,155,142,162
878,166,46,49,50
825,162,47,46,49
654,298,41,44,46
270,1,202,193,216
442,22,50,42,38
609,305,41,44,46
733,22,50,49,51
814,456,45,48,50
849,132,47,48,52
318,60,36,26,28
216,431,45,46,49
299,26,48,47,55
690,261,42,47,49
596,254,59,55,62
1,70,40,33,39
230,276,204,203,226
222,223,189,185,207
304,237,195,194,214
811,480,170,164,178
412,301,43,44,45
508,141,48,49,51
366,60,31,24,27
1140,64,231,230,245
1045,141,46,49,54
506,107,30,34,32
1197,362,242,237,255
91,440,49,48,50
612,308,46,46,49
641,429,40,44,45
560,479,115,102,88
550,468,160,158,172
27,331,39,39,41
581,331,41,44,45
1060,26,83,70,61
39,288,43,34,39
179,219,190,185,205
732,84,47,45,48
816,220,241,238,255
908,51,83,83,78
617,28,50,50,52
970,85,50,50,52
324,484,117,115,123
139,77,162,149,171
370,304,43,42,47
21,120,152,23,30
583,457,126,119,115
1120,384,232,230,245
1070,428,104,80,60
404,475,56,55,52
284,108,32,25,28
547,307,44,46,48
