x,y,R,G,B
890,364,45,45,49
81,440,50,47,52
32,19,225,221,246
831,94,47,47,50
110,461,50,47,51
137,76,164,145,170
264,388,43,45,48
740,28,50,49,51
37,143,161,31,35
408,382,41,43,45
893,391,45,46,47
305,234,195,195,213
1036,386,46,49,50
643,197,239,238,255
325,453,69,64,52
245,8,180,169,193
1047,319,48,48,52
400,399,41,43,45
836,248,62,58,71
790,246,242,237,255
541,411,43,40,43
466,133,44,44,44
581,400,46,43,47
563,325,44,42,46
792,398,44,46,50
912,265,239,234,255
200,16,185,167,188
529,152,44,44,47
627,329,42,43,46
1031,285,49,49,53
233,357,44,42,46
664,66,45,47,50
437,389,46,45,50
689,327,42,46,46
913,161,47,47,49
1167,409,237,232,250
662,420,42,42,47
1046,45,117,107,95
837,45,106,89,72
444,150,46,42,47
803,140,45,46,50
970,439,74,82,127
684,442,43,43,48
802,338,45,45,51
821,363,43,47,49
589,359,42,42,45
515,410,42,44,41
465,175,46,44,50
427,319,45,42,49
325,475,116,109,117
1021,494,49,49,52
421,149,44,42,44
1064,394,50,51,56
352,371,46,41,47
571,498,172,170,173
340,41,46,34,31
649,373,42,44,48
96,355,38,40,42
213,48,197,185,209
863,451,50,46,51
799,367,47,44,49
59,309,36,32,37
555,221,227,228,249
65,40,117,106,119
617,249,238,237,255
657,435,45,46,46
102,432,101,75,81
162,330,42,38,43
692,320,44,46,51
799,268,238,237,255
469,254,192,192,214
1061,395,50,49,53
529,395,37,40,45
603,86,41,45,44
513,351,45,43,48
39,74,117,107,118
475,108,44,41,45
733,243,242,239,255
1013,217,48,48,53
1056,41,107,103,104
702,398,123,131,163
1097,74,239,233,254
343,108,28,28,32
898,453,47,47,49
1085,227,135,136,156
293,205,110,95,115
1094,219,248,248,255
502,193,62,61,73
724,449,46,44,50
400,102,36,36,39
236,123,33,28,34
637,5,46,48,51
279,225,192,188,208
1184,482,234,233,251
1126,144,230,226,244
615,235,238,236,255
551,342,42,42,46
714,207,242,238,255
507,424,44,44,46
935,203,49,46,49
367,439,93,86,80
93,111,156,29,37
780,160,46,49,49
471,490,117,107,63
611,282,45,46,49
455,428,56,55,60
382,343,43,42,46
1181,388,237,235,251
7,106,138,17,26
140,87,144,128,149
582,137,43,45,52
464,293,82,79,85
923,214,45,49,50
674,484,110,84,62
247,292,45,42,47
61,480,53,51,52
638,291,48,44,52
75,55,182,181,201
202,360,39,43,45
1100,8,245,242,255
43,409,45,46,48
7,183,65,82,62
91,118,167,86,108
286,10,125,128,142
684,377,42,42,47
632,111,45,46,48
712,138,44,47,48
604,424,43,44,46
598,476,166,166,166
737,97,50,44,47
609,488,191,186,202
40,64,113,107,113
576,20,80,72,56
1041,352,47,49,55
91,250,215,214,241
74,136,169,93,117
912,302,47,45,50
228,296,42,41,45
288,256,203,199,218
633,248,46,47,49
603,335,43,43,47
1130,226,231,227,242
140,6,163,166,179
1151,304,234,233,247
150,303,37,37,39
1049,70,110,96,78
315,386,46,40,48
883,23,104,100,98
12,63,66,56,66
1147,325,231,231,244
304,255,200,200,223
726,497,155,148,161
1144,409,235,229,246
1045,98,53,51,52
1197,266,239,236,250
3,167,110,107,111
141,62,153,137,158
834,72,47,48,50
47,498,67,60,53
941,488,55,48,52
911,272,233,234,253
43,397,46,45,44
396,78,36,31,32
76,253,45,40,44
914,361,43,47,50
756,423,47,45,49
3,451,51,49,53
890,316,43,45,48
191,330,45,42,47
496,280,45,47,47
279,463,102,97,67
803,358,48,47,48
1026,194,46,49,52
944,327,42,45,48
298,133,33,27,29
377,451,193,176,182
317,260,204,202,225
502,21,80,62,47
483,354,43,44,46
776,458,49,46,51
1113,343,231,230,248
1186,83,239,237,254
259,287,43,44,45
1107,394,236,237,254
568,113,44,43,47
205,67,38,30,35
278,127,31,27,28
636,298,47,46,52
145,210,46,42,42
208,201,185,181,201
391,283,43,45,50
73,302,31,32,32
758,284,51,48,51
2,454,51,52,53
339,442,71,69,53
606,121,46,45,48
797,398,45,45,48
847,116,45,46,48
29,102,32,30,26
417,159,42,42,44
1170,328,238,235,253
345,145,36,35,36
51,250,35,30,30
409,110,38,39,42
795,181,44,48,50
6,389,45,45,48
97,217,213,215,242
981,0,115,85,66
289,312,44,45,48
544,487,137,135,124
485,64,43,42,43
1118,67,227,227,244
1123,268,230,227,242
1189,328,238,236,252
605,91,40,45,48
970,147,50,46,51
186,447,76,74,70
295,9,215,214,235
354,473,60,51,52
402,233,215,215,238
312,128,31,29,30
351,241,201,205,223
706,227,171,170,184
1065,490,52,52,53
689,412,43,42,47
1098,420,243,240,255
872,249,91,76,71
147,214,194,189,210
1044,324,46,47,54
301,192,185,187,205
707,62,46,47,50
449,152,45,43,47
249,339,46,44,47
1040,203,53,49,52
928,119,48,46,52
526,70,48,45,47
719,394,87,93,84
429,75,37,37,39
811,411,51,50,53
633,487,159,156,157
388,402,42,43,43
298,226,194,190,210
866,316,45,47,49
617,341,40,45,45
420,167,44,42,44
49,0,228,227,248
235,323,42,43,47
1128,254,229,224,244
523,389,41,43,47
91,24,108,103,113
95,270,36,32,31
974,59,72,60,57
142,26,152,135,156
1111,3,236,235,253
560,206,218,219,244
569,287,43,46,49
863,198,45,47,49
886,119,49,48,53
48,391,43,44,46
912,174,47,48,50
564,367,41,43,45
1136,378,226,227,243
1182,341,239,237,252
876,338,48,46,50
306,452,76,75,54
697,392,43,44,48
553,157,43,44,47
220,370,43,44,50
655,37,46,45,48
762,129,46,44,48
165,109,113,102,132
1029,336,49,47,52
685,404,49,44,47
135,116,197,183,204
1122,157,229,228,246
202,51,194,173,191
450,125,45,43,44
458,91,42,42,44
98,124,159,30,33
249,319,42,43,47
750,81,49,46,48
463,31,86,64,49
984,364,48,47,51
18,186,77,80,85
614,168,45,46,47
280,474,112,106,78
333,310,41,42,44
696,449,42,44,46
296,159,38,31,35
973,155,48,47,51
1155,490,232,231,245
636,228,235,234,255
976,186,47,47,50
86,23,108,101,111
599,327,41,42,42
440,33,39,37,36
300,329,42,43,47
589,181,224,228,247
875,53,99,97,89
725,443,47,47,48
846,348,46,47,51
417,333,45,43,47
1010,274,45,48,50
404,201,210,212,234
348,85,32,26,25
322,286,45,45,46
541,69,45,42,49
0,106,137,18,29
276,487,82,73,53
1114,315,232,230,248
769,285,49,49,53
395,254,216,218,239
581,493,177,173,176
746,244,240,239,255
979,311,47,45,49
229,355,47,44,47
274,254,199,196,219
472,112,41,43,44
621,286,42,43,47
943,101,45,50,50
473,109,41,44,45
1172,69,241,238,253
435,68,38,38,39
996,99,47,49,52
355,397,44,43,46
483,250,195,192,206
469,135,46,42,47
762,315,45,45,51
870,472,50,46,50
841,292,43,47,50
1128,60,230,229,243
191,154,33,34,37
109,452,51,47,52
677,122,43,45,46
872,408,48,45,50
888,462,41,46,51
440,424,31,30,35
1197,208,238,235,251
1160,41,237,234,249
984,494,44,48,49
1189,199,240,237,255
203,321,42,41,44
672,88,47,44,48
911,333,47,45,52
760,358,47,42,51
531,156,43,45,47
710,5,99,53,67
1057,331,49,48,53
57,86,187,185,207
322,177,190,186,205
466,378,45,47,53
267,80,38,38,42
871,66,47,49,52
19,197,87,90,101
1185,39,239,237,253
302,4,210,215,230
78,152,162,31,39
443,313,43,44,47
988,494,53,48,53
1092,256,243,239,255
717,186,238,239,255
809,112,46,47,47
959,382,45,45,49
56,282,32,31,35
24,118,148,21,33
1013,216,48,49,54
1058,420,48,49,52
476,294,58,56,62
512,230,223,221,241
26,325,34,39,39
318,246,203,202,224
296,58,39,35,38
849,303,46,46,49
48,452,45,48,50
208,371,42,44,48
178,187,190,187,208
718,475,149,142,145
478,431,177,188,195
