x,y,R,G,B
866,165,44,47,51
755,189,44,48,50
445,211,218,219,241
216,427,47,48,52
1095,377,246,244,255
562,314,44,43,48
373,22,36,27,28
306,143,34,28,33
224,162,174,170,189
731,87,49,46,51
269,5,196,188,211
630,213,233,232,254
1049,231,46,48,53
792,473,168,161,159
610,77,46,44,47
275,414,45,44,46
1101,417,242,239,255
285,212,51,49,61
357,162,38,38,38
1164,42,237,236,254
675,409,43,43,45
1150,492,230,229,243
51,6,226,227,241
1106,477,232,230,248
23,346,39,39,44
1151,401,233,229,244
659,230,238,237,255
536,432,45,45,47
723,281,43,49,50
271,170,187,186,205
469,205,234,231,255
632,107,46,44,49
407,339,46,42,44
532,288,41,43,46
557,375,43,41,46
842,187,48,48,52
670,353,45,44,47
533,262,227,227,251
56,495,47,50,50
786,347,46,46,49
536,464,133,127,138
601,458,143,146,160
28,488,62,59,53
688,107,46,46,49
191,402,42,43,46
29,279,33,30,30
657,47,46,46,48
649,408,41,44,48
612,279,42,45,49
989,84,51,48,53
979,186,50,47,52
314,319,41,43,46
1048,230,46,49,54
10,328,40,38,42
564,49,42,45,45
1037,231,45,49,51
624,386,44,45,45
932,268,49,44,52
252,285,47,44,51
410,214,72,69,87
950,182,46,47,52
699,65,48,46,51
102,264,42,40,41
479,223,50,50,57
749,156,47,46,49
812,112,47,46,50
358,326,43,43,45
42,54,112,104,113
612,384,43,44,45
137,460,44,48,49
110,303,38,32,36
190,47,192,179,199
1006,369,47,46,51
185,276,214,210,231
50,82,189,185,204
395,434,122,117,93
915,369,44,43,50
799,489,162,158,173
391,201,206,210,227
651,385,49,47,50
347,59,31,22,25
980,3,109,81,63
1116,173,230,231,249
248,327,46,44,46
55,62,119,109,114
893,23,80,73,66
104,319,35,35,38
448,440,128,114,117
949,319,42,44,49
1142,54,232,230,246
882,308,44,46,49
1097,171,239,241,255
649,114,43,45,47
14,14,208,210,231
1031,354,48,48,52
478,368,44,44,46
956,134,47,48,51
315,392,46,41,44
1127,258,229,228,243
194,9,157,32,43
189,391,47,44,47
764,26,51,49,54
807,369,44,46,50
477,473,187,185,204
635,270,45,47,49
1118,121,231,227,247
0,367,46,45,49
730,89,45,46,49
1026,356,47,49,52
136,205,200,196,218
658,10,46,49,50
1139,331,230,225,244
1191,355,237,233,252
193,275,211,208,231
875,45,101,98,92
688,432,43,42,47
87,431,51,47,51
939,107,47,47,51
665,130,46,46,49
216,324,40,43,46
828,146,50,48,49
121,137,32,26,31
701,480,131,110,78
651,491,93,70,58
609,288,42,45,50
336,247,204,203,226
759,247,241,239,255
828,184,45,45,49
708,462,127,112,85
211,306,39,41,44
1158,303,236,233,251
199,340,40,46,45
1044,478,49,47,53
642,105,44,45,47
281,14,115,118,134
796,108,47,46,50
162,79,157,145,167
1152,448,232,230,247
864,196,48,46,52
977,287,49,46,52
372,249,211,212,233
1190,245,236,237,254
914,249,225,228,255
919,278,48,47,49
374,38,37,24,31
920,119,48,47,51
1032,238,52,49,50
311,225,193,192,214
106,281,36,35,35
19,258,37,32,34
944,430,47,48,51
961,304,51,47,51
1181,404,237,235,251
310,116,35,28,32
686,37,49,49,50
89,376,41,43,43
158,466,105,86,54
345,43,34,26,28
907,487,162,155,99
1085,342,62,64,58
140,163,154,149,173
1159,97,237,233,252
99,202,199,199,228
479,320,47,49,52
599,408,44,43,45
250,324,44,44,44
16,402,48,48,50
947,174,48,48,50
158,138,115,103,134
232,296,43,44,47
233,229,190,188,205
437,20,37,33,32
225,118,33,32,36
958,318,48,47,50
116,125,164,31,37
212,25,176,160,181
382,207,193,190,209
353,51,32,23,26
119,144,44,32,36
410,103,39,38,41
329,38,50,43,42
65,189,33,26,30
680,9,47,48,54
545,105,46,43,48
293,476,119,112,91
3,7,225,226,248
502,232,151,147,150
970,374,47,47,50
72,489,69,67,72
1090,463,245,238,255
1144,112,231,231,245
554,38,42,43,47
680,498,112,84,64
369,7,40,33,32
253,379,47,45,46
701,208,243,237,255
1036,345,46,48,52
273,346,43,43,46
347,36,35,29,30
792,206,66,59,67
879,343,49,45,51
351,45,32,24,23
1105,288,233,230,250
370,42,31,23,23
777,350,46,48,50
847,451,47,48,51
321,339,39,42,45
978,188,49,48,53
226,5,173,159,183
1007,391,48,49,51
977,424,48,48,50
936,326,45,46,49
442,113,43,42,45
442,14,36,31,37
238,263,199,198,218
190,467,48,50,50
451,64,42,40,44
1038,335,43,45,50
844,497,165,155,109
1070,11,104,77,63
543,485,123,115,100
549,317,44,42,43
510,2,121,100,81
587,328,43,45,48
1098,482,236,234,253
1053,216,50,49,53
136,157,235,231,254
37,356,41,42,44
695,115,45,46,48
801,356,48,45,50
708,338,43,44,47
721,424,45,45,50
85,368,41,40,45
1126,237,227,227,245
127,213,198,198,219
223,296,41,42,44
195,64,43,34,39
165,341,40,39,41
