x,y,R,G,B
506,197,135,142,167
864,139,47,47,51
43,70,117,105,117
701,245,52,51,54
541,397,43,41,45
260,349,42,42,44
249,294,41,41,45
841,456,42,45,49
756,26,49,50,52
481,438,176,184,205
150,308,37,32,33
549,142,45,43,46
1174,67,236,236,253
130,60,156,138,160
1180,208,239,237,254
306,231,195,195,214
438,404,170,176,196
333,206,54,50,55
1171,0,237,235,253
1186,94,240,236,253
772,148,47,48,51
1029,353,46,46,53
314,46,37,29,32
1126,348,229,228,244
1126,35,232,229,246
502,119,19,16,16
15,417,51,53,55
67,203,86,80,96
475,7,65,49,40
327,46,32,27,27
521,336,44,43,46
397,292,47,44,45
1019,217,49,47,49
927,356,45,46,50
646,232,230,233,254
71,494,52,47,51
1171,152,238,236,250
1169,152,239,236,251
654,492,96,71,54
368,299,47,45,49
1161,175,239,234,250
1006,85,83,73,65
157,388,42,41,45
107,293,36,31,33
827,328,48,48,49
439,360,48,46,51
475,145,40,43,46
135,142,74,64,81
372,75,31,27,30
877,353,50,48,53
976,213,47,48,53
14,125,152,25,34
350,238,105,99,106
594,85,43,45,47
505,489,125,109,70
182,325,38,40,42
569,420,42,43,45
502,67,53,52,57
1169,283,238,237,254
267,141,31,26,30
974,174,47,48,50
238,378,44,44,46
32,493,67,60,54
52,390,46,42,45
369,85,31,28,28
66,277,37,32,35
1087,1,255,251,255
952,190,51,46,52
667,86,48,45,49
1120,379,231,231,246
433,12,34,28,31
505,149,45,47,49
741,196,242,237,255
872,305,48,44,50
495,319,42,44,47
17,244,38,32,34
99,281,35,31,35
1034,264,50,48,52
258,26,209,199,218
24,300,38,35,39
695,233,243,238,255
375,427,47,44,44
540,348,40,41,45
1197,171,237,237,253
1062,410,51,50,53
950,463,46,49,50
522,133,47,42,50
302,123,31,29,24
1176,91,237,237,250
1027,58,183,168,126
952,324,47,46,50
678,181,234,234,255
1144,46,230,230,247
345,370,46,42,49
683,243,50,50,54
941,395,43,46,49
503,241,151,149,183
1124,157,230,228,242
493,97,43,41,44
656,225,242,237,255
941,391,46,48,52
103,395,46,45,44
1080,27,246,244,249
384,160,43,40,45
545,161,45,45,47
1043,155,48,50,50
719,433,43,46,49
759,265,196,199,229
923,366,47,46,48
283,53,47,46,53
503,488,121,103,65
866,329,47,47,47
1140,275,232,229,244
502,233,212,219,236
86,392,42,45,45
102,225,206,205,228
750,32,51,48,52
1010,425,42,46,51
1047,200,49,49,53
319,184,190,191,208
268,381,43,41,47
1020,403,45,47,50
117,23,27,27,31
1128,135,228,226,242
104,450,51,48,50
561,185,233,231,254
1196,301,241,239,254
534,393,43,43,43
1026,254,48,47,51
76,497,45,47,50
622,402,40,42,48
324,390,44,44,47
579,165,45,45,47
634,366,42,42,47
218,178,188,182,201
132,335,37,37,40
635,352,42,43,44
283,95,31,27,28
830,249,236,237,255
318,322,43,44,47
431,421,46,47,49
31,158,166,28,40
687,96,47,47,50
25,268,35,30,33
238,492,76,73,58
50,426,50,53,52
678,468,106,81,59
1188,122,240,238,252
350,361,43,43,46
82,381,43,42,43
633,125,42,46,49
624,143,46,45,49
234,73,185,188,207
1107,374,238,234,251
124,247,211,208,230
1171,63,240,237,252
414,166,42,45,41
679,356,41,46,47
361,163,41,40,43
770,62,46,45,50
747,114,45,46,49
165,36,170,150,176
1076,127,131,127,91
417,59,32,34,35
561,142,41,45,48
201,284,72,69,96
4,259,34,32,32
833,287,44,46,50
844,136,48,48,50
260,37,179,178,199
974,449,51,51,51
747,264,102,103,124
407,131,42,40,41
483,233,86,79,91
618,282,44,42,46
1134,285,226,225,240
686,8,51,48,53
819,485,161,158,171
19,164,173,35,42
718,428,44,43,46
1094,415,244,243,255
563,186,229,230,253
107,71,139,121,141
862,19,97,94,87
326,403,46,45,47
38,371,44,44,48
815,376,43,45,49
321,318,38,43,46
250,67,43,43,46
576,146,46,45,46
44,282,36,26,29
138,283,58,46,73
876,475,48,49,52
145,46,130,116,133
826,288,45,49,48
3,252,31,29,31
323,360,41,43,44
553,480,131,127,128
691,31,50,52,52
794,189,44,47,52
921,40,118,111,107
557,147,45,44,46
37,460,53,50,51
757,240,241,238,255
33,437,51,49,54
1181,163,238,235,252
577,22,53,49,51
973,248,47,45,51
493,300,46,44,49
1010,226,48,48,51
43,330,40,39,36
971,446,52,46,53
650,141,45,43,48
355,455,85,83,57
596,140,43,45,46
929,61,95,91,84
110,318,34,33,35
638,497,146,143,155
9,384,48,47,51
277,176,185,180,202
