x,y,R,G,B
925,301,46,48,47
986,256,49,45,51
877,450,51,47,53
63,467,48,50,52
803,341,43,45,49
1017,368,42,48,52
766,201,55,55,60
629,414,39,43,43
1161,366,236,231,249
1088,27,244,241,255
100,458,57,56,55
13,415,57,53,53
958,410,48,45,50
347,111,30,27,31
390,173,43,45,45
137,230,194,198,214
103,230,198,199,222
486,482,117,109,65
466,383,41,45,47
375,426,45,44,45
306,315,43,43,43
114,228,166,167,177
583,416,46,42,45
241,480,56,54,51
175,244,202,197,218
987,475,47,46,49
472,216,67,63,63
1031,195,45,49,53
283,394,40,46,45
685,138,44,47,46
455,430,103,101,78
5,342,43,44,46
102,50,31,29,29
839,255,238,238,255
970,59,70,61,55
1108,168,240,236,254
482,174,49,53,54
538,486,132,127,135
846,440,49,50,52
424,29,34,30,31
933,164,48,49,50
602,264,45,46,50
810,215,240,237,255
279,327,45,43,45
1128,181,229,229,246
1035,143,47,49,51
110,167,105,124,134
953,396,45,45,48
1166,180,236,234,252
195,418,43,44,48
1054,498,51,49,53
672,243,45,48,50
224,228,192,188,212
251,291,43,42,46
31,253,34,28,30
226,188,187,182,203
732,264,52,52,55
446,459,131,113,111
365,185,197,196,214
540,274,46,44,50
518,172,46,47,51
754,474,155,154,160
691,251,46,48,51
4,494,52,49,51
1095,327,241,238,255
478,342,44,44,48
325,436,74,70,50
19,227,32,28,29
1104,1,243,240,255
984,341,48,47,50
945,146,45,46,51
186,224,112,111,141
920,102,46,47,52
1015,361,45,49,52
640,137,45,44,47
1046,424,46,49,52
957,40,98,75,61
129,47,140,124,143
431,353,45,46,44
838,103,50,47,50
1015,436,49,47,50
746,321,46,48,52
680,39,44,45,47
102,334,38,37,41
941,396,46,46,50
1157,358,234,232,249
1070,251,54,51,59
634,18,51,50,49
357,258,214,212,236
247,162,70,60,69
717,453,49,46,48
412,318,44,43,48
626,459,115,113,119
475,162,46,45,48
1090,357,247,246,255
295,479,86,83,68
387,279,45,45,48
354,295,45,43,47
1131,73,228,227,244
125,248,213,208,231
349,27,43,33,35
813,315,48,46,49
718,273,44,47,48
27,34,228,229,254
808,123,48,45,52
811,23,54,53,56
788,254,241,236,255
584,123,45,44,48
434,422,51,50,53
700,489,132,106,73
760,7,52,48,51
135,164,171,181,193
771,360,49,45,50
661,482,100,78,58
42,74,106,99,105
590,197,231,232,254
372,219,202,203,224
565,316,44,40,44
96,249,212,215,237
380,138,39,38,40
1050,251,50,48,52
610,394,43,44,47
815,462,43,46,50
1044,89,69,62,60
507,156,47,48,51
454,154,41,44,44
1108,61,234,232,249
228,361,47,45,45
377,345,43,44,49
202,29,162,33,47
810,376,42,45,50
378,240,214,211,234
725,474,156,150,163
683,121,42,46,49
857,397,48,46,48
679,169,45,47,50
226,428,55,53,55
610,373,48,45,48
601,194,234,233,254
484,110,43,44,45
213,457,44,48,50
95,243,217,215,240
607,152,44,45,46
164,212,153,144,153
1090,408,245,244,254
121,19,29,30,31
647,98,46,45,49
953,51,71,60,57
886,491,176,162,108
425,4,37,30,32
1130,363,231,229,246
114,126,161,31,37
143,284,40,40,45
943,146,47,46,52
458,109,39,44,42
413,212,69,65,69
320,264,211,207,232
304,16,44,47,51
807,438,46,50,52
30,237,32,28,30
1171,37,239,234,253
442,99,40,42,46
774,247,240,239,255
269,196,107,95,106
801,147,46,47,50
1173,308,238,235,252
1159,201,236,235,251
43,253,32,28,27
890,321,43,46,49
77,258,199,200,223
351,448,80,77,57
669,441,43,43,47
361,107,33,28,31
159,439,46,47,50
254,3,183,173,194
934,448,179,183,177
201,441,48,48,52
594,328,42,44,45
258,368,42,43,45
111,379,39,43,43
37,49,146,146,162
975,209,47,45,52
226,9,173,161,185
943,346,45,45,49
471,207,233,230,255
783,378,41,44,48
373,220,205,206,230
167,230,63,57,59
779,466,117,109,99
25,146,166,29,40
505,496,109,97,58
531,221,227,226,249
1048,458,51,47,53
556,84,45,43,46
977,51,85,66,58
530,162,42,44,45
477,23,58,50,48
641,116,45,47,47
794,255,242,239,255
966,106,47,49,52
804,161,44,46,49
314,431,53,52,51
976,300,46,47,52
345,251,208,209,230
634,414,45,43,46
801,393,42,46,48
309,118,33,27,30
480,474,167,167,188
630,16,52,49,51
991,259,46,46,52
116,126,162,33,38
1188,367,238,236,252
931,335,44,44,48
395,141,40,41,43
1123,192,231,230,245
1059,314,52,49,55
716,438,43,44,47
894,27,81,76,71
594,362,43,46,44
119,391,43,43,45
598,132,42,43,48
728,82,46,47,48
827,159,47,44,49
668,169,49,46,52
747,194,58,57,63
124,489,46,46,48
139,428,49,48,53
1066,156,52,50,56
361,80,32,26,26
1082,415,56,55,60
328,287,45,44,48
182,255,204,199,221
62,292,38,34,34
318,377,45,43,46
569,396,43,41,44
1141,199,233,231,249
721,228,237,234,254
286,84,37,32,33
916,136,48,48,51
981,3,112,80,65
1160,258,236,234,249
222,361,45,44,45
588,120,42,46,48
256,496,87,72,54
931,125,43,46,52
502,77,43,48,49
427,121,44,41,47
1138,393,231,230,245
274,371,45,42,50
976,321,47,42,47
553,319,42,45,44
791,153,47,47,51
563,484,160,156,158
885,251,241,235,255
880,224,241,238,255
729,412,45,44,46
1004,299,50,50,51
615,384,39,43,48
1028,8,117,86,66
381,301,43,43,45
62,295,30,30,31
626,91,46,45,48
1161,427,236,232,249
692,332,42,44,49
60,30,110,101,118
414,163,45,43,47
915,79,51,47,53
336,330,44,44,45
1001,79,59,54,58
426,428,44,45,47
827,22,83,80,72
585,320,44,44,47
283,12,115,115,129
109,233,197,193,217
590,336,45,45,45
773,411,87,91,73
14,403,46,45,50
808,74,48,46,51
1162,460,236,233,248
738,466,149,143,153
1155,192,235,233,248
303,476,130,120,98
193,127,36,38,45
514,463,159,160,178
742,42,52,50,54
857,37,95,94,85
193,46,194,176,202
975,381,41,47,50
