x,y,R,G,B
694,31,50,51,55
832,434,46,46,51
664,70,45,45,48
125,476,49,49,51
1124,114,229,226,242
445,355,40,45,52
678,212,135,131,128
858,287,43,46,50
766,444,46,46,51
625,256,47,47,48
277,289,44,42,47
425,431,44,46,49
210,343,42,42,45
863,313,47,48,51
400,9,33,30,29
799,215,240,238,255
982,356,43,46,49
887,408,46,46,48
720,374,41,45,48
538,62,42,43,44
240,483,61,58,51
235,340,47,43,44
689,199,242,239,255
418,12,34,28,27
956,412,45,45,49
261,162,53,44,55
453,295,43,44,47
69,237,39,39,44
1048,235,49,49,48
101,352,35,39,42
1009,236,45,47,52
372,283,46,43,48
112,322,38,37,40
559,116,44,42,47
403,145,44,42,45
1020,170,48,48,52
1056,88,66,60,61
402,437,192,197,218
968,258,48,48,50
1044,45,116,105,90
482,488,113,102,63
984,446,44,41,62
548,299,46,43,48
367,251,213,210,232
504,430,50,45,46
117,4,118,109,116
994,159,48,46,53
616,148,43,46,47
937,305,48,46,49
710,478,146,133,125
759,124,46,47,51
994,135,50,49,52
156,490,47,47,48
81,430,49,48,51
711,96,45,46,49
906,447,60,49,64
1151,248,234,232,250
493,146,68,64,66
664,329,42,43,45
227,156,61,56,67
121,340,37,36,40
886,356,46,49,50
617,311,44,44,44
559,213,215,216,231
931,38,171,122,80
214,24,172,158,179
936,391,45,46,50
234,227,187,183,202
806,201,49,47,52
163,352,43,41,44
220,145,37,27,32
1113,488,227,226,244
61,86,189,191,209
187,452,52,47,49
371,208,200,202,223
284,415,45,45,46
626,55,45,45,50
266,38,213,216,234
1144,104,233,229,243
155,275,212,210,232
785,149,48,49,50
797,225,241,236,255
394,287,46,45,51
632,479,193,190,203
260,252,197,194,217
108,183,248,250,255
1137,323,229,229,247
1174,136,237,235,252
344,489,63,58,51
445,77,42,40,45
256,211,52,46,51
1189,474,238,236,251
819,304,50,46,51
937,496,174,157,81
184,418,43,44,49
550,430,42,43,48
692,248,49,48,52
751,409,65,70,95
666,5,54,51,53
114,101,161,30,38
765,356,42,45,49
165,481,46,46,47
388,102,40,35,40
568,499,171,167,169
1055,430,50,47,55
672,251,47,48,47
255,175,187,183,205
447,315,45,46,50
837,316,45,45,51
1095,320,242,241,255
442,277,52,50,61
577,411,41,42,45
716,54,47,46,51
441,30,36,35,37
329,45,35,25,30
1116,258,231,231,245
118,401,44,44,46
578,197,228,227,249
1164,61,238,233,253
265,94,33,30,35
710,265,46,47,51
730,471,154,149,163
791,306,45,49,50
449,348,46,49,52
186,22,158,29,39
102,484,46,48,50
200,152,37,30,33
263,359,40,42,49
293,495,43,46,43
1183,269,239,236,251
120,25,29,29,30
1072,166,50,52,56
302,452,75,74,57
594,359,46,44,46
1076,114,63,61,62
1132,249,229,227,245
1002,173,47,49,51
1022,477,49,50,54
738,397,50,52,50
347,386,40,42,47
905,116,49,48,52
1090,84,70,71,74
272,407,42,41,45
978,246,46,49,50
1188,468,236,234,249
100,261,209,210,234
841,415,48,46,51
957,133,46,47,52
549,308,41,42,46
209,493,43,47,47
550,27,49,47,48
642,178,236,235,255
1101,136,239,239,255
130,299,37,32,36
719,0,49,49,52
29,107,143,24,33
508,153,48,48,52
539,436,172,174,191
395,261,218,219,242
757,29,50,50,51
346,50,35,22,26
1106,18,240,235,254
816,449,47,46,50
188,151,37,36,37
167,101,201,191,211
849,251,232,234,255
567,425,41,39,46
1169,330,238,234,251
1157,289,234,233,250
774,335,43,46,49
379,30,32,25,27
608,85,43,45,48
1170,247,235,235,252
278,232,190,188,206
4,143,165,26,36
1144,289,233,229,246
647,123,49,43,48
1160,376,236,233,247
226,359,45,44,48
258,316,40,44,46
399,30,39,32,31
543,225,227,225,248
152,146,177,186,205
970,348,48,47,51
476,447,175,179,199
795,196,46,47,51
500,278,48,45,50
86,229,173,175,201
714,427,43,46,46
443,298,44,44,52
874,418,48,49,51
1023,199,50,50,52
1128,249,229,228,244
1103,278,237,234,251
835,125,49,47,48
839,492,164,157,123
357,113,38,31,31
1183,242,240,234,252
40,191,89,85,95
574,171,44,46,50
739,265,52,51,55
744,4,49,49,49
148,226,200,196,219
639,345,45,43,50
61,80,31,28,31
1101,6,247,243,255
556,391,45,42,44
1023,416,50,47,53
754,27,47,49,51
515,348,43,41,44
649,381,43,43,47
324,461,93,90,77
100,293,34,30,34
925,373,48,46,51
977,420,44,48,48
409,133,42,41,47
324,20,41,41,42
968,279,48,48,50
802,429,48,46,53
955,465,47,47,53
421,90,38,38,40
1106,373,240,235,255
339,421,43,43,47
427,223,219,219,244
778,51,48,46,50
163,203,43,38,42
364,118,30,31,31
381,171,45,44,46
934,155,42,46,49
479,246,43,42,43
819,154,46,47,51
359,16,40,32,29
870,290,49,49,51
847,223,239,237,255
482,309,45,45,48
817,32,57,52,54
622,95,45,43,49
1024,291,49,46,52
287,182,189,185,209
1063,47,112,107,108
163,234,71,65,91
449,293,47,44,48
1084,270,51,52,59
1131,248,228,228,244
816,370,43,45,47
516,460,147,144,153
495,451,148,150,169
1041,172,50,49,54
811,225,240,239,255
202,338,39,42,47
274,474,99,93,67
239,118,34,27,32
334,342,43,44,45
108,31,189,184,205
930,456,47,48,53
449,187,139,134,141
1119,35,233,230,246
1157,141,238,233,249
199,458,48,49,49
628,224,234,235,255
593,452,134,124,117
696,372,45,45,44
345,98,33,27,31
656,452,59,54,52
537,417,40,43,45
921,376,46,46,49
745,190,204,201,247
1178,425,235,234,251
1154,325,232,231,251
306,120,34,28,31
762,362,47,47,50
1123,45,232,227,243
938,185,46,46,52
421,364,45,46,48
124,440,49,48,50
64,471,45,48,50
420,319,45,43,46
681,319,41,45,45
850,204,49,48,50
458,122,48,43,44
407,196,213,214,234
605,250,234,235,255
741,382,46,45,48
847,442,46,47,50
753,492,171,162,170
846,51,89,74,56
434,450,73,67,70
855,350,48,47,50
17,318,39,40,39
1017,340,47,48,53
628,231,235,237,255
461,363,51,53,53
1162,419,236,234,249
1166,159,240,234,252
598,409,47,45,45
774,356,46,43,47
827,431,47,46,52
362,125,37,32,33
635,432,46,43,48
607,63,46,43,46
606,30,47,46,50
599,336,41,43,46
939,463,47,47,51
716,261,58,52,53
1148,357,232,230,248
52,25,62,59,66
344,48,29,24,25
994,370,42,49,51
407,168,45,44,45
779,118,48,46,51
640,273,47,42,49
597,242,237,235,255
383,376,42,42,47
361,44,32,25,28
1102,357,243,236,255
915,260,74,66,130
683,6,50,49,52
778,42,48,48,54
470,449,174,180,198
1198,249,238,236,253
467,498,107,99,59
20,200,115,115,115
1149,468,232,228,246
457,305,49,49,52
824,221,241,240,255
560,303,46,44,47
557,204,229,226,251
1118,70,229,225,244
371,297,43,45,45
330,480,111,112,120
1168,441,238,235,251
249,275,204,204,226
492,292,48,46,48
945,360,48,47,52
991,468,48,46,49
668,369,42,45,48
5,323,37,40,42
821,117,49,47,51
779,62,46,47,49
463,61,42,40,44
241,3,175,162,186
686,36,49,49,51
1087,387,167,177,199
520,411,41,42,43
641,241,44,48,49
218,290,43,40,45
96,255,219,214,238
335,301,42,43,42
801,108,43,47,49
350,219,201,201,223
832,393,43,46,51
499,129,28,26,29
631,492,145,142,152
989,149,51,49,54
500,194,181,182,207
208,127,34,35,39
912,172,44,45,50
700,164,46,45,47
502,419,43,41,45
886,14,76,71,64
193,289,38,40,42
1168,275,239,235,254
1181,245,238,235,252
515,305,44,46,47
214,244,197,194,215
371,174,192,194,214
120,220,193,189,214
157,8,96,76,101
756,121,45,46,48
284,57,42,42,48
349,456,68,66,52
778,315,45,47,50
10,85,123,116,126
607,56,44,44,47
433,183,50,47,52
658,1,47,49,50
448,76,43,40,45
1005,444,44,49,49
910,391,46,45,47
941,287,42,46,51
735,8,47,50,52
220,20,174,159,182
974,493,44,47,49
76,24,105,97,107
336,19,37,34,36
1177,394,237,235,252
300,76,35,28,30
668,93,46,46,49
360,220,207,204,227
365,50,34,25,26
581,165,43,47,48
9,337,43,42,45
809,152,47,48,52
835,386,46,45,49
990,139,47,48,50
241,396,46,43,49
242,220,183,182,202
1047,243,48,49,54
1157,1,237,234,252
550,235,230,227,253
851,235,235,232,254
262,175,191,185,208
330,87,32,24,27
743,13,51,48,54
154,371,42,42,44
78,247,46,42,49
383,11,40,31,29
466,360,58,54,58
790,411,53,50,54
1105,464,233,231,246
366,312,46,44,47
95,96,155,25,35
858,146,48,48,52
773,465,106,100,86
107,429,54,53,52
566,208,227,229,243
548,194,228,225,250
476,3,53,46,40
827,456,48,46,49
330,362,42,42,48
165,12,161,144,165
1187,381,242,236,255
964,225,43,48,51
910,57,82,80,79
301,33,50,51,57
338,387,41,41,47
670,199,237,233,255
655,86,47,44,49
627,387,43,43,48
174,494,45,44,45
619,358,42,42,46
2,246,33,27,30
113,476,49,48,50
853,309,46,46,48
1056,85,65,61,59
854,428,45,45,52
536,206,102,101,128
55,57,113,104,113
12,407,44,44,47
444,352,44,45,46
466,182,45,48,51
404,45,32,28,28
264,93,35,30,35
427,446,152,146,149
369,13,41,30,29
1167,219,238,237,250
496,337,37,42,44
598,212,83,65,72
850,23,91,87,85
672,273,45,45,48
559,301,38,43,45
1149,337,235,232,246
443,154,42,44,45
741,459,55,47,52
492,56,43,42,45
787,9,52,51,53
255,80,41,45,48
351,6,39,39,38
300,7,185,189,206
1186,414,237,236,253
771,368,45,45,49
94,338,37,37,39
690,123,46,43,51
450,452,127,113,123
680,80,39,46,49
133,40,151,134,156
1059,75,75,67,60
658,163,48,46,50
285,210,188,187,202
1152,441,231,230,246
324,86,34,28,26
153,468,133,124,86
709,244,73,61,82
819,152,46,47,51
472,422,42,44,47
802,117,46,48,51
679,99,47,44,48
598,297,41,44,48
419,295,45,44,48
70,400,47,43,48
57,314,34,32,36
805,339,44,48,50
5,385,45,43,47
876,353,47,46,50
355,24,42,30,32
385,6,43,32,28
1167,99,241,235,253
45,127,151,26,34
117,189,216,217,245
588,308,46,45,46
1127,455,227,226,245
962,74,72,64,59
123,453,45,48,49
175,32,171,156,180
475,219,189,191,210
565,407,43,42,48
604,218,151,148,184
260,385,44,42,46
597,215,232,233,247
685,234,237,236,255
404,180,44,46,49
92,248,217,216,239
1022,38,98,74,61
1100,86,241,238,255
1002,288,47,48,50
175,141,37,38,44
747,127,46,47,48
619,476,179,177,187
401,447,189,195,213
1100,318,239,239,255
221,375,44,44,47
871,184,47,48,52
961,215,48,46,50
16,434,51,50,53
1124,38,231,228,247
725,399,136,149,169
99,131,160,25,38
728,365,42,45,47
929,184,50,47,53
1133,264,230,228,243
566,201,220,222,235
309,47,37,32,36
1195,11,239,234,251
277,66,40,38,45
719,184,70,66,77
946,451,71,43,89
121,315,26,34,37
103,109,187,146,160
757,317,43,42,48
226,283,203,206,231
883,117,49,49,52
532,171,48,48,50
1002,287,47,48,49
528,344,41,45,43
315,326,46,41,46
86,317,33,32,37
119,244,212,209,229
206,5,159,35,40
866,78,48,46,52
804,346,45,45,45
683,435,42,45,46
1145,127,232,232,246
580,178,51,50,55
495,222,213,211,230
1082,369,57,57,60
241,413,44,43,47
603,161,43,45,48
1198,421,238,235,253
630,422,45,44,48
728,292,41,44,47
686,85,47,46,49
1199,458,235,237,252
334,444,74,71,54
454,375,27,23,26
479,482,94,94,59
857,377,47,47,49
423,195,222,223,244
479,309,44,49,52
7,496,50,52,55
335,284,45,43,48
987,103,47,49,51
731,439,51,43,49
638,440,45,44,46
311,253,205,205,225
949,468,46,47,50
1024,403,49,49,53
221,429,42,46,49
353,365,45,44,43
679,56,45,45,51
728,297,44,44,48
1000,448,49,40,83
623,459,97,98,102
476,184,44,47,49
1013,246,43,47,51
368,459,170,160,161
134,51,138,122,143
70,2,64,65,68
1027,143,50,48,52
446,132,42,41,46
821,49,55,53,53
385,283,44,46,49
85,488,45,50,50
749,154,48,46,51
119,186,218,220,249
85,52,30,28,31
258,230,191,185,208
841,149,46,47,52
1099,461,237,235,254
191,247,200,198,220
205,403,46,42,45
1061,385,47,49,53
1090,147,80,84,98
39,243,34,30,31
642,238,51,51,53
121,253,217,211,236
539,394,41,40,45
471,61,45,41,43
121,32,36,35,35
933,400,44,48,50
99,5,107,98,109
797,245,240,236,255
