x,y,R,G,B
694,320,44,44,49
625,14,47,48,51
892,156,44,47,48
1120,7,230,230,246
454,204,228,226,247
334,447,59,58,52
361,38,35,25,26
955,423,47,45,48
418,152,42,44,44
2,183,89,86,96
696,433,47,44,49
583,384,42,43,45
1023,398,46,46,51
1117,44,228,229,247
807,9,53,53,56
997,167,50,47,54
264,424,54,55,46
825,17,80,78,71
851,184,49,47,48
1047,142,50,50,53
61,207,105,102,100
1102,370,241,238,255
569,485,145,136,126
107,491,52,46,50
179,358,46,43,42
120,198,216,217,242
1017,93,53,50,53
329,383,43,42,46
363,68,35,26,26
15,264,34,28,30
299,478,112,112,88
23,283,35,31,32
315,90,34,26,31
1106,242,237,232,250
469,383,45,45,46
1042,26,111,87,68
988,74,74,64,57
687,127,44,44,48
1040,266,51,49,54
309,95,31,31,28
151,163,46,43,47
538,9,82,67,53
478,499,100,88,54
1157,425,234,231,251
68,169,170,33,43
30,314,39,33,37
656,160,47,47,49
151,461,46,46,48
210,27,185,169,193
260,32,136,136,160
1080,382,103,99,95
1,428,54,53,55
94,393,42,42,45
1146,358,230,230,247
699,434,44,44,48
957,224,44,47,52
695,445,46,45,47
520,186,222,222,243
396,188,209,207,229
236,461,73,68,52
335,237,198,198,221
248,114,33,31,31
581,342,42,42,48
199,316,40,42,47
705,3,50,50,53
126,150,142,123,145
873,165,42,48,50
570,29,45,46,45
1083,139,53,52,58
851,225,240,239,255
133,188,217,214,238
1144,6,233,230,242
1177,499,234,233,250
511,395,40,41,46
24,399,43,45,48
495,406,42,40,47
905,227,238,236,255
607,115,45,46,49
482,393,43,42,47
234,76,158,161,172
44,192,126,121,130
506,378,38,43,44
542,33,43,43,49
1010,323,48,49,52
522,372,40,42,44
947,312,43,46,52
1048,479,47,47,54
1178,82,236,237,254
103,67,132,112,130
759,199,51,50,54
865,255,243,241,255
270,474,106,99,74
712,0,168,70,115
848,14,93,90,85
1088,385,245,235,225
797,347,44,47,47
771,463,51,50,52
1118,135,230,229,248
857,488,159,149,110
580,283,42,46,46
953,243,47,48,51
602,470,135,128,111
566,190,232,230,255
1025,307,49,47,53
741,302,44,44,51
444,50,39,35,40
674,171,51,48,51
72,488,80,75,79
1180,481,238,236,251
1152,258,236,234,250
221,364,41,44,46
1129,337,226,225,242
488,126,44,45,47
635,80,46,43,48
271,329,43,44,48
603,183,234,233,255
851,151,47,48,53
679,115,43,46,47
618,381,43,44,45
667,169,52,47,53
328,188,190,190,210
1167,59,241,235,254
465,317,25,21,24
1078,314,243,242,254
136,364,42,41,44
112,102,156,32,35
726,427,46,47,47
648,29,48,46,53
672,433,44,43,46
187,435,47,45,48
677,372,47,45,48
203,298,38,41,45
1087,283,246,250,255
835,262,160,166,194
347,407,44,42,44
47,335,35,36,39
1081,84,103,101,129
435,103,43,41,43
1122,221,231,229,244
1063,53,73,67,74
553,415,38,41,44
1028,18,108,82,63
516,403,39,41,44
991,111,48,48,54
716,156,45,47,48
160,432,51,51,53
377,456,153,144,149
270,377,41,43,47
11,213,30,27,28
1172,147,237,236,251
93,291,34,30,33
45,473,49,48,48
213,197,63,57,63
756,439,43,46,49
58,234,32,33,34
964,33,94,71,59
55,403,44,47,49
334,255,209,207,229
1054,432,46,49,53
37,148,162,29,32
611,457,174,181,200
532,454,133,132,137
191,462,48,48,51
466,372,46,50,51
873,110,45,47,53
1010,110,43,47,51
388,119,37,40,38
609,486,190,192,204
834,357,46,47,50
1000,219,48,47,54
766,274,48,47,53
772,192,43,46,53
1140,399,230,228,246
855,51,108,88,64
985,163,48,49,52
153,457,50,48,51
1009,127,44,46,52
273,372,44,42,46
908,407,46,46,50
37,354,43,42,45
684,432,41,43,47
334,284,44,45,49
322,99,32,28,28
1069,230,49,51,52
713,25,65,57,56
75,299,35,31,32
97,471,50,48,49
322,431,62,63,53
969,56,78,62,58
53,123,151,22,34
679,268,45,46,48
935,1,135,91,68
1044,101,51,49,55
390,471,69,63,54
526,289,46,45,48
320,476,114,110,113
1006,175,43,47,50
484,44,43,43,42
861,324,44,46,50
521,56,47,41,45
1181,247,236,237,251
468,295,17,22,20
618,304,46,44,48
950,81,48,46,51
827,476,163,162,176
724,330,48,46,50
709,245,60,58,60
713,75,45,47,49
736,475,152,144,157
667,292,49,44,49
527,299,43,43,45
13,268,39,36,34
510,219,217,217,232
744,143,43,46,49
966,444,44,48,52
58,335,35,34,37
184,381,47,42,46
864,403,47,47,48
594,246,239,238,255
1143,218,230,230,247
825,439,45,46,48
759,96,47,45,51
276,22,170,171,191
1048,450,48,50,52
533,158,42,44,50
958,213,49,46,49
973,403,43,47,51
840,285,46,47,50
564,451,131,129,136
703,449,45,46,47
1008,494,50,49,52
902,317,43,47,49
1035,81,75,64,62
142,358,41,40,44
730,269,47,49,48
1035,37,106,79,62
10,106,142,18,32
1057,182,48,49,54
1010,280,44,48,51
994,471,48,49,54
142,55,138,123,142
237,313,45,43,45
852,417,176,174,179
998,281,44,47,51
828,447,46,45,50
793,1,52,50,53
660,97,44,47,50
1186,228,238,235,255
136,92,153,140,159
557,29,43,43,48
1093,254,242,240,255
688,37,49,49,52
627,426,40,45,49
908,336,45,47,47
908,408,46,47,50
497,406,41,43,46
540,211,214,211,223
664,23,49,49,54
1003,315,46,48,50
836,194,48,47,49
471,100,44,42,45
919,129,44,49,52
526,25,67,48,34
131,131,78,59,92
1048,399,47,47,52
28,426,52,48,52
486,167,44,45,48
991,211,47,46,49
217,353,43,43,43
82,160,145,38,41
846,408,47,45,48
59,179,173,61,60
173,155,37,36,41
767,166,49,46,51
260,288,42,44,45
303,357,42,43,43
19,72,107,98,106
1084,73,61,59,63
780,241,173,162,180
135,396,44,43,45
162,231,52,40,51
509,95,36,33,35
898,233,239,235,255
775,199,49,49,53
325,277,43,42,47
486,292,46,47,50
152,82,159,145,166
119,258,212,211,236
449,156,45,43,46
971,403,49,46,51
931,448,51,53,56
779,61,47,47,49
94,26,114,105,113
428,451,144,84,77
834,271,49,48,52
393,307,46,46,48
914,107,43,47,50
1088,264,154,150,101
758,76,46,48,48
517,51,35,35,39
875,120,52,47,53
57,133,153,27,33
483,240,63,56,57
28,175,176,36,40
760,164,48,46,49
632,413,42,42,47
40,353,43,43,44
761,111,48,45,50
794,56,42,47,48
278,46,41,40,45
959,56,63,56,55
627,273,47,43,47
158,305,35,36,37
30,340,41,40,45
524,363,44,40,43
84,465,83,73,61
838,12,92,90,86
225,174,189,185,203
734,17,46,48,53
309,189,183,185,203
160,323,37,39,37
668,366,42,43,45
180,276,209,210,233
732,153,48,47,49
740,251,239,237,255
460,38,62,51,42
684,15,45,49,52
414,33,35,31,34
850,128,47,47,50
343,191,195,194,214
394,360,43,43,46
968,315,45,47,50
734,98,44,46,49
128,321,36,34,33
313,219,192,194,211
1018,346,41,48,50
743,6,48,49,50
821,253,238,239,255
857,216,66,61,74
1160,167,237,235,250
329,418,43,43,44
333,182,194,191,214
1035,440,46,48,50
615,53,43,46,47
69,99,153,25,32
110,91,160,46,70
897,452,45,48,51
312,101,32,24,32
685,139,46,47,49
126,291,38,37,36
760,384,45,44,47
1078,431,246,246,255
578,467,120,110,95
934,4,203,186,186
1147,209,231,230,247
1151,93,235,233,247
119,115,160,31,37
522,488,100,92,66
841,397,45,45,49
1044,287,55,51,61
244,215,187,185,205
100,198,214,210,239
280,255,198,197,217
725,30,72,56,56
969,99,49,46,51
1190,324,238,237,250
724,101,45,45,48
355,255,210,209,233
481,489,113,103,62
539,342,44,42,44
485,387,41,43,45
1016,306,47,47,53
516,256,226,224,246
55,237,32,30,35
838,352,45,47,49
863,395,42,45,48
469,245,205,204,222
1067,331,50,48,52
440,210,220,220,239
939,287,51,47,54
917,480,47,47,52
498,183,195,195,213
449,172,44,46,48
97,31,121,113,124
356,181,193,194,214
605,422,43,43,47
23,272,38,29,34
243,299,41,44,46
469,404,41,44,46
791,141,46,49,49
755,287,45,45,49
561,302,44,46,49
679,299,45,44,47
304,101,34,25,28
729,13,48,50,52
174,470,57,56,55
1102,67,235,234,251
565,430,45,42,46
317,66,37,27,30
213,172,184,182,203
1130,136,229,227,241
358,482,69,63,57
377,20,40,26,29
664,480,106,80,61
393,51,30,27,31
1164,102,237,236,251
927,110,47,45,52
283,499,72,66,62
155,89,155,141,163
307,468,127,117,87
192,197,168,163,187
544,379,42,44,44
92,329,33,34,37
444,67,36,38,42
116,374,42,40,45
1185,135,241,238,254
327,50,33,26,26
341,38,43,32,30
895,225,235,235,254
305,114,29,26,25
1123,188,232,230,248
702,292,47,45,49
567,329,44,43,47
854,434,44,46,50
929,58,93,93,85
939,226,46,48,52
1125,487,228,224,243
521,124,43,45,46
987,36,110,84,63
435,392,42,47,50
919,308,46,44,49
1010,187,44,47,52
964,472,51,51,53
232,227,188,186,204
892,159,45,46,50
656,136,48,46,47
456,430,109,107,81
322,74,29,27,26
777,486,162,161,170
351,333,42,44,48
1193,458,238,234,252
518,434,163,170,185
85,361,37,38,43
989,114,45,49,51
1025,161,48,49,54
356,239,136,132,150
1062,292,57,55,58
78,295,35,28,34
